denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.473742173579694, 0.083, 62.98489308357239)
(1, 72.224553221982092, 0.069, 126.09491300582886)
(2, 69.884637231422545, 0.0618, 189.10829401016235)
(3, 68.51020395816424, 0.0555, 252.1396119594574)
(4, 67.546573940376888, 0.0532, 315.23383808135986)
(5, 66.885831992069726, 0.0521, 378.3466830253601)
(6, 66.402030347990191, 0.0473, 441.4116370677948)
(7, 65.940361418851424, 0.0466, 504.4835879802704)
(8, 65.678692756956863, 0.044, 567.4882969856262)
(9, 65.382144745028739, 0.0425, 630.5274901390076)
(10, 65.207435177571512, 0.0426, 693.7223391532898)
(11, 65.016184149421719, 0.0383, 756.6296429634094)
(12, 64.822940078113547, 0.0408, 819.6823410987854)
(13, 64.718665882697834, 0.0396, 882.6747069358826)
(14, 64.595737828200129, 0.0383, 945.8413920402527)
(15, 64.489477682084271, 0.0369, 1008.8636360168457)
(16, 64.356820619638611, 0.0369, 1072.0178761482239)
(17, 64.279799975081232, 0.0366, 1135.0026171207428)
(18, 64.205058326768665, 0.035, 1198.126765012741)
(19, 64.119756288204798, 0.038, 1261.1919920444489)
(20, 64.031870802011142, 0.037, 1324.2432000637054)
(21, 63.940966715681647, 0.0351, 1387.4977099895477)
(22, 63.938930138932051, 0.0331, 1450.845111131668)
(23, 63.835635731075705, 0.0324, 1513.9291219711304)
(24, 63.814723750726223, 0.0335, 1576.9532461166382)
(25, 63.768220173298367, 0.0326, 1640.1161589622498)
(26, 63.713073966113953, 0.0335, 1703.0964510440826)
(27, 63.672894936612479, 0.0333, 1765.9616961479187)
(28, 63.594024189669916, 0.0366, 1829.022961139679)
(29, 63.588672326272572, 0.0326, 1892.0823769569397)
(30, 63.522298497589482, 0.0331, 1955.1180081367493)
(31, 63.478154812937881, 0.0319, 2018.0581591129303)
(32, 63.418271485661258, 0.0322, 2081.2142820358276)
(33, 63.440896926753631, 0.0308, 2144.469773054123)
(34, 63.409213654062498, 0.0329, 2207.498057126999)
(35, 63.380541485045725, 0.0319, 2270.3656899929047)
(36, 63.332659742388394, 0.0312, 2333.462242126465)
(37, 63.329769513589071, 0.0314, 2396.7174870967865)
(38, 63.285508170805045, 0.0307, 2459.5783779621124)
(39, 63.260175300218407, 0.032, 2522.7721071243286)
(40, 63.254662812451159, 0.0319, 2585.8279659748077)
(41, 63.20711212332526, 0.03, 2648.851266145706)
(42, 63.189996312103197, 0.0301, 2712.0721781253815)
(43, 63.190933598397088, 0.0311, 2775.1013720035553)
(44, 63.150790149818349, 0.0315, 2837.99093914032)
(45, 63.130386210265009, 0.0306, 2901.0476100444794)
(46, 63.137869924678796, 0.0293, 2964.36407995224)
(47, 63.092949667123975, 0.0281, 3027.755375146866)
(48, 63.065393049643198, 0.0294, 3090.716038942337)
(49, 63.041258518764607, 0.0295, 3153.9080140590668)
done.
