denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.79860453970381, 0.0786, 58.59809613227844)
(1, 53.242198373144198, 0.0745, 116.32077598571777)
(2, 52.679977649258532, 0.0695, 173.13851499557495)
(3, 52.37292296182811, 0.0662, 230.39971709251404)
(4, 52.155844038992477, 0.063, 287.79890394210815)
(5, 51.984504163512689, 0.0601, 345.3015239238739)
(6, 51.841084407460031, 0.0582, 401.9530289173126)
(7, 51.716843974196173, 0.0558, 459.22336292266846)
(8, 51.606866550365176, 0.0535, 515.7039430141449)
(9, 51.50809615483864, 0.052, 573.3025150299072)
(10, 51.418521640992687, 0.0508, 630.223580121994)
(11, 51.336754401421032, 0.0498, 687.5784621238708)
(12, 51.261768572742206, 0.0489, 744.9176681041718)
(13, 51.192739869928097, 0.0471, 802.7068181037903)
(14, 51.128961615754875, 0.0464, 860.3567459583282)
(15, 51.069815024416279, 0.0456, 917.4641969203949)
(16, 51.014762022028464, 0.0451, 974.7705719470978)
(17, 50.963343521384409, 0.0441, 1032.2430930137634)
(18, 50.915174207227523, 0.044, 1089.9627530574799)
(19, 50.869931059509319, 0.0429, 1147.3920979499817)
(20, 50.827338871317991, 0.0426, 1204.932769060135)
(21, 50.787155969617125, 0.0426, 1261.6117351055145)
(22, 50.749164098870004, 0.0417, 1317.1013960838318)
(23, 50.713165456298455, 0.0407, 1373.3442270755768)
(24, 50.678982906553316, 0.0398, 1429.8072021007538)
(25, 50.646458493689735, 0.0392, 1486.8127710819244)
(26, 50.615449946716751, 0.0389, 1544.1495671272278)
(27, 50.585826834722297, 0.0392, 1599.986174106598)
(28, 50.557468335954823, 0.0389, 1656.2848210334778)
(29, 50.530265267901754, 0.039, 1712.093985080719)
(30, 50.504124156717722, 0.0391, 1767.7152259349823)
(31, 50.4789685858563, 0.0389, 1823.9555270671844)
(32, 50.454735179934751, 0.0391, 1879.7541599273682)
(33, 50.43136740005184, 0.0387, 1935.377583026886)
(34, 50.408812062976011, 0.0384, 1991.8432400226593)
(35, 50.387018897006364, 0.0382, 2047.8290209770203)
(36, 50.365941292912048, 0.0379, 2103.1493611335754)
(37, 50.345537021460835, 0.0377, 2159.6465260982513)
(38, 50.32576825832939, 0.0377, 2216.56285405159)
(39, 50.306600824849021, 0.0373, 2273.1549110412598)
(40, 50.288003166949196, 0.0376, 2330.05584192276)
(41, 50.26994560502537, 0.0375, 2387.4490129947662)
(42, 50.252399972616828, 0.0372, 2444.663980960846)
(43, 50.235339530229851, 0.0376, 2501.2431449890137)
(44, 50.218739016437127, 0.0373, 2558.3129529953003)
(45, 50.202574721808013, 0.0374, 2615.6332070827484)
(46, 50.186824523278958, 0.0367, 2673.1995129585266)
(47, 50.171467876297903, 0.0369, 2731.3031809329987)
(48, 50.156485785658532, 0.0368, 2789.0915529727936)
(49, 50.141860752067672, 0.0365, 2846.622303009033)
(50, 50.127576659490089, 0.0369, 2904.3428280353546)
(51, 50.113618585273755, 0.037, 2962.1349449157715)
(52, 50.099972573266477, 0.037, 3020.064743041992)
(53, 50.086625435766535, 0.037, 3077.5308039188385)
(54, 50.073564619749895, 0.0369, 3135.1884400844574)
(55, 50.060778133497152, 0.0369, 3192.707664012909)
(56, 50.048254514617739, 0.0368, 3250.1628029346466)
(57, 50.035982822317138, 0.0369, 3307.116657972336)
(58, 50.023952640676931, 0.0363, 3363.848321914673)
(59, 50.012154080955838, 0.0363, 3420.170644044876)
(60, 50.000577771734143, 0.036, 3476.2815461158752)
(61, 49.989214827964936, 0.0358, 3531.999001979828)
(62, 49.978056795040835, 0.0358, 3587.866411924362)
(63, 49.967095570345542, 0.036, 3644.968658924103)
(64, 49.956323310069592, 0.0359, 3701.393615961075)
(65, 49.945732331298302, 0.0357, 3757.8366351127625)
(66, 49.935315023300177, 0.0358, 3812.877694129944)
(67, 49.925063806378404, 0.0356, 3868.2473669052124)
(68, 49.914971260944967, 0.0355, 3923.2395980358124)
(69, 49.905030681377326, 0.0352, 3978.8961720466614)
(70, 49.895237134410124, 0.0352, 4034.452940940857)
(71, 49.885588172273835, 0.0355, 4090.3460290431976)
(72, 49.87608300799625, 0.0357, 4146.302990913391)
(73, 49.866720749884493, 0.0355, 4201.248589038849)
(74, 49.857499337992238, 0.0356, 4256.9413640499115)
(75, 49.848415545179968, 0.0356, 4312.826872110367)
(76, 49.839465430961646, 0.0356, 4368.79286813736)
(77, 49.830644771828119, 0.0359, 4426.504801034927)
(78, 49.821949332607872, 0.036, 4484.12468791008)
(79, 49.8133750014619, 0.0361, 4541.893440008163)
(80, 49.804917839618035, 0.0362, 4599.49364900589)
(81, 49.796574085315669, 0.0363, 4656.833750009537)
(82, 49.78834013704666, 0.0365, 4714.240097045898)
(83, 49.780212531136527, 0.0364, 4771.578701019287)
(84, 49.772187922254425, 0.0366, 4830.0799350738525)
(85, 49.764263070920776, 0.0368, 4887.5759201049805)
(86, 49.756434838615831, 0.037, 4945.475290060043)
(87, 49.748700188499448, 0.0373, 5003.127949953079)
(88, 49.741056188237941, 0.0374, 5059.84019613266)
(89, 49.733500011873026, 0.0373, 5117.0615339279175)
(90, 49.726028939551277, 0.0372, 5175.1686000823975)
(91, 49.718640355856998, 0.0373, 5233.083323001862)
(92, 49.711331748577486, 0.0373, 5291.302088975906)
(93, 49.704100709335542, 0.0376, 5349.348201990128)
(94, 49.696944936725998, 0.0374, 5407.310297966003)
(95, 49.689862241924132, 0.0377, 5464.879849910736)
(96, 49.68285055519766, 0.0379, 5523.062691926956)
(97, 49.675907930881053, 0.0379, 5581.125075101852)
(98, 49.669032547746689, 0.0379, 5639.287468910217)
(99, 49.662222702742795, 0.0379, 5697.3694360256195)
done.
