denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.062767822004375, 0.089, 59.05912113189697)
(1, 69.837320049195682, 0.0691, 117.92260193824768)
(2, 67.684414907639294, 0.0595, 176.82271194458008)
(3, 66.328865206818705, 0.0561, 235.81929898262024)
(4, 65.449814598303433, 0.0531, 294.8195321559906)
(5, 64.816608277192785, 0.0513, 353.764062166214)
(6, 64.347722152028837, 0.0509, 412.59859108924866)
(7, 63.993673067223, 0.0475, 471.4992320537567)
(8, 63.681366377759716, 0.0466, 530.3566279411316)
(9, 63.442506145570704, 0.0429, 589.2236850261688)
(10, 63.223767499307392, 0.0432, 648.1746211051941)
(11, 63.043106253950135, 0.0436, 707.1348140239716)
(12, 62.935906224163446, 0.0417, 766.1248171329498)
(13, 62.768867540105923, 0.0401, 825.0403590202332)
(14, 62.649387042446016, 0.0394, 884.106073141098)
(15, 62.5478054169836, 0.0376, 943.1482391357422)
(16, 62.446724863466279, 0.0377, 1002.1795949935913)
(17, 62.34196232756674, 0.036, 1061.0965859889984)
(18, 62.315479655519432, 0.0372, 1120.0465099811554)
(19, 62.227514214103458, 0.0361, 1179.0320341587067)
(20, 62.161649803183892, 0.0341, 1237.8683559894562)
(21, 62.112476925351672, 0.0349, 1296.6303880214691)
(22, 62.022094360671367, 0.0345, 1355.4508941173553)
(23, 61.966283725516696, 0.0342, 1414.5762159824371)
(24, 61.942705782925721, 0.0335, 1473.558799982071)
(25, 61.906391620707524, 0.0324, 1532.6269481182098)
(26, 61.844673335918124, 0.034, 1591.6453220844269)
(27, 61.820290340425409, 0.0322, 1650.7491590976715)
(28, 61.807179432759746, 0.0322, 1709.7622210979462)
(29, 61.736734179314041, 0.0312, 1768.7004680633545)
(30, 61.707436374505797, 0.0313, 1827.5489070415497)
(31, 61.690399781773579, 0.0319, 1886.417230129242)
(32, 61.654124909821164, 0.0325, 1945.4792971611023)
(33, 61.612790133554583, 0.0314, 2004.462131023407)
(34, 61.590119253988192, 0.0311, 2063.3897881507874)
(35, 61.571300158483034, 0.031, 2122.4673261642456)
(36, 61.520748721158583, 0.0311, 2181.628828048706)
(37, 61.489262291586442, 0.0297, 2240.565628051758)
(38, 61.463222332058635, 0.0322, 2299.5255460739136)
(39, 61.435349231761236, 0.0322, 2358.4487130641937)
(40, 61.422158659631471, 0.0304, 2417.2984549999237)
(41, 61.412688721987969, 0.032, 2476.3211221694946)
(42, 61.393136731279199, 0.0295, 2535.2084040641785)
(43, 61.363946860762532, 0.0287, 2594.290013074875)
(44, 61.360737936109423, 0.03, 2653.3483419418335)
(45, 61.344203617633859, 0.0293, 2712.3622131347656)
(46, 61.316672728257601, 0.0296, 2771.4464070796967)
(47, 61.276701396120188, 0.0278, 2830.2356390953064)
(48, 61.270629290526159, 0.0306, 2889.1028389930725)
(49, 61.270366669402144, 0.03, 2948.0295679569244)
(50, 61.216135989311923, 0.0281, 3007.196455001831)
(51, 61.229970126746338, 0.0294, 3066.3040239810944)
(52, 61.230942401647745, 0.028, 3125.3749690055847)
(53, 61.230599080500859, 0.0298, 3184.3903470039368)
(54, 61.174930669558861, 0.0286, 3243.3196761608124)
(55, 61.168741901699008, 0.0298, 3302.156224012375)
(56, 61.132347854436098, 0.0293, 3361.121299982071)
(57, 61.136035693349314, 0.0272, 3420.082069158554)
(58, 61.135087800056532, 0.0294, 3478.993889093399)
(59, 61.118385714892611, 0.0295, 3537.9221301078796)
(60, 61.09682002626824, 0.028, 3596.8787970542908)
(61, 61.091378890408002, 0.0298, 3655.947245121002)
(62, 61.073174220851399, 0.0307, 3714.8545219898224)
(63, 61.088238675447521, 0.0285, 3773.6166291236877)
(64, 61.077611725660901, 0.0277, 3832.5725281238556)
(65, 61.052305312003583, 0.0287, 3891.5341300964355)
(66, 61.029033482389522, 0.0277, 3950.537925004959)
(67, 61.023639047193448, 0.0271, 4009.50883102417)
(68, 61.022985434991398, 0.0279, 4068.4498240947723)
(69, 61.012596462906224, 0.0276, 4127.501108169556)
(70, 60.988818101294804, 0.0289, 4186.3834681510925)
(71, 60.954237590421364, 0.0279, 4245.36696100235)
(72, 60.972997043384481, 0.0275, 4304.300490140915)
(73, 60.934887744694123, 0.0284, 4363.334464073181)
(74, 60.923893823687209, 0.0298, 4422.325001001358)
(75, 60.934010721669637, 0.0274, 4481.155220985413)
(76, 60.940390039872007, 0.0279, 4540.169852972031)
(77, 60.912932873388193, 0.028, 4599.070745944977)
(78, 60.913953149793521, 0.0279, 4657.945258140564)
(79, 60.898883925774399, 0.0284, 4717.008790969849)
(80, 60.906948067126578, 0.0254, 4775.967299938202)
(81, 60.859656457006224, 0.0266, 4835.0053679943085)
(82, 60.847220128998273, 0.0284, 4893.933001995087)
(83, 60.865959074858331, 0.028, 4952.8159720897675)
(84, 60.853452214751265, 0.0267, 5011.838330030441)
(85, 60.832830771531761, 0.0278, 5070.786059141159)
(86, 60.843696017425508, 0.0275, 5129.7680950164795)
(87, 60.844939385816801, 0.0289, 5188.778612136841)
(88, 60.828806520744834, 0.0273, 5247.6465101242065)
(89, 60.813591461441284, 0.0282, 5306.522253990173)
(90, 60.791532745637021, 0.0263, 5365.2987451553345)
(91, 60.794533362676823, 0.0263, 5424.325832128525)
(92, 60.754140328143045, 0.028, 5483.229511022568)
(93, 60.79819970505531, 0.0283, 5541.953721046448)
(94, 60.771079563449987, 0.0281, 5600.699131965637)
(95, 60.779044977095374, 0.0281, 5659.700145959854)
(96, 60.75088409848815, 0.0273, 5718.617352962494)
(97, 60.733932953475104, 0.0253, 5777.414386034012)
(98, 60.707062805131521, 0.0268, 5836.213654994965)
(99, 60.734658176329816, 0.0276, 5895.081746101379)
done.
