denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.050000
epoch, cost, error_rate, time
(0, 62.694697034828472, 0.0793, 62.775031089782715)
(1, 58.20522533813844, 0.0715, 125.63965201377869)
(2, 57.427495671229565, 0.0621, 188.37539196014404)
(3, 56.955859091546493, 0.0589, 251.01514101028442)
(4, 56.536484461901814, 0.0544, 313.8322789669037)
(5, 56.204006884586057, 0.0535, 376.1100070476532)
(6, 55.910883082249725, 0.0499, 438.85051012039185)
(7, 55.664478804406713, 0.0453, 501.7523491382599)
(8, 55.449253547903822, 0.047, 564.45055103302)
(9, 55.265038090073922, 0.0445, 627.154247045517)
(10, 55.130676221987187, 0.0452, 689.9506449699402)
(11, 54.990722965520902, 0.0453, 752.7902059555054)
(12, 54.86827932908237, 0.043, 815.8916599750519)
(13, 54.767516868741673, 0.0416, 878.7062790393829)
(14, 54.676456429510587, 0.0403, 941.4531960487366)
(15, 54.602042055623492, 0.0433, 1004.5527341365814)
(16, 54.498032481664268, 0.0395, 1067.1900029182434)
(17, 54.438561725101678, 0.039, 1130.38139295578)
(18, 54.381193369973403, 0.0397, 1193.095498085022)
(19, 54.316219518684804, 0.0388, 1255.9434320926666)
(20, 54.269740181233956, 0.038, 1318.8566019535065)
(21, 54.207442193737954, 0.0374, 1381.5756359100342)
(22, 54.171439525073872, 0.0384, 1444.3882460594177)
(23, 54.129620827760533, 0.0359, 1507.2869470119476)
(24, 54.078945613612383, 0.0356, 1570.0361320972443)
(25, 54.032710087807651, 0.0379, 1632.9125471115112)
(26, 54.000804032411985, 0.0346, 1695.7059750556946)
(27, 53.957833756626258, 0.0349, 1758.654086112976)
(28, 53.937643013992407, 0.035, 1821.511999130249)
(29, 53.906266797976009, 0.0342, 1884.110507965088)
(30, 53.87123149219741, 0.0344, 1946.91051197052)
(31, 53.840254968834607, 0.033, 2009.821916103363)
(32, 53.812958984449949, 0.0333, 2072.713585138321)
(33, 53.795767865475199, 0.0325, 2135.4735341072083)
(34, 53.761946832019348, 0.0326, 2198.195505142212)
(35, 53.748690585481818, 0.0315, 2261.011291027069)
(36, 53.713288666348419, 0.0329, 2323.998492002487)
(37, 53.696836712609596, 0.032, 2386.8230381011963)
(38, 53.676068885009371, 0.0321, 2449.7064909934998)
(39, 53.64338298794177, 0.0323, 2512.5306730270386)
(40, 53.629348661683593, 0.0327, 2575.4242639541626)
(41, 53.608909859216936, 0.0317, 2638.3080859184265)
(42, 53.582705757618427, 0.031, 2701.0573029518127)
(43, 53.564685108101017, 0.0315, 2763.948590993881)
(44, 53.552296509954516, 0.0323, 2826.8010880947113)
(45, 53.532239790872403, 0.0315, 2889.5107650756836)
(46, 53.520645990363924, 0.0316, 2952.4764819145203)
(47, 53.503790713454251, 0.0312, 3015.176425933838)
(48, 53.493611797061007, 0.0326, 3078.0332539081573)
(49, 53.458991668117932, 0.0308, 3140.709857940674)
done.
