denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 76.978680415016086, 0.0817, 59.61482882499695)
(1, 69.826193942030699, 0.0686, 119.16916799545288)
(2, 67.625640076693514, 0.0595, 178.63796997070312)
(3, 66.311840019915763, 0.0533, 238.35583090782166)
(4, 65.463228807334687, 0.0494, 297.95563888549805)
(5, 64.822156497834385, 0.0469, 357.66411995887756)
(6, 64.370654759253995, 0.0461, 417.24230098724365)
(7, 63.998511966844227, 0.0443, 476.82442593574524)
(8, 63.709704111661061, 0.0435, 536.3409368991852)
(9, 63.483464434180085, 0.0422, 595.8473658561707)
(10, 63.254521001287245, 0.0418, 655.3033878803253)
(11, 63.095277042244362, 0.0394, 714.8141939640045)
(12, 62.940724780392657, 0.04, 774.2861189842224)
(13, 62.800188563024314, 0.0381, 833.8636529445648)
(14, 62.691936655111228, 0.0379, 893.6096279621124)
(15, 62.572722518478017, 0.038, 953.2552638053894)
(16, 62.498573898335486, 0.0378, 1012.6224570274353)
(17, 62.39138461299315, 0.0356, 1072.0656208992004)
(18, 62.304914534325839, 0.036, 1131.5712938308716)
(19, 62.250037083442884, 0.0366, 1191.0896999835968)
(20, 62.157234892172298, 0.0363, 1250.6948108673096)
(21, 62.138845580631823, 0.0355, 1310.397204875946)
(22, 62.091205441742098, 0.0349, 1370.0115008354187)
(23, 62.04536181107067, 0.0316, 1429.591318845749)
(24, 61.94878808626337, 0.0351, 1489.1130588054657)
(25, 61.909875353471897, 0.0326, 1548.70605301857)
(26, 61.876219066126119, 0.0328, 1608.2902178764343)
(27, 61.811182845043696, 0.0333, 1667.7522628307343)
(28, 61.812499001945639, 0.0296, 1727.3611679077148)
(29, 61.732553184740581, 0.0327, 1787.0430719852448)
(30, 61.696271249217716, 0.033, 1846.469311952591)
(31, 61.693778747667814, 0.0307, 1906.139690876007)
(32, 61.642184923975776, 0.0306, 1965.5331828594208)
(33, 61.623540249668991, 0.0313, 2024.9512310028076)
(34, 61.602792035245955, 0.0301, 2084.6105399131775)
(35, 61.559823921693898, 0.0312, 2144.1136388778687)
(36, 61.531445105649752, 0.0307, 2203.6992988586426)
(37, 61.520216369045052, 0.0294, 2263.347000837326)
(38, 61.489395748373013, 0.0292, 2322.850849866867)
(39, 61.468298169662688, 0.0298, 2382.403034925461)
(40, 61.430020632941215, 0.0282, 2442.0560879707336)
(41, 61.386038453543428, 0.0286, 2501.6702959537506)
(42, 61.397359836877094, 0.0302, 2561.164736032486)
(43, 61.340797641244563, 0.0275, 2620.792156934738)
(44, 61.369841527342935, 0.0279, 2680.4973809719086)
(45, 61.332590078030364, 0.0287, 2740.1274478435516)
(46, 61.329325788088852, 0.0295, 2799.4903450012207)
(47, 61.30027017653498, 0.0286, 2859.0689749717712)
(48, 61.267340853157243, 0.0301, 2918.5859158039093)
(49, 61.264974367828316, 0.0283, 2978.2306859493256)
(50, 61.25451321084703, 0.0304, 3037.9220068454742)
(51, 61.201825316362516, 0.0304, 3097.5317590236664)
(52, 61.211785117549645, 0.0303, 3157.0310089588165)
(53, 61.194189149158156, 0.0268, 3216.652199983597)
(54, 61.175069246813472, 0.0288, 3276.3039479255676)
(55, 61.165190246477188, 0.0275, 3335.998771905899)
(56, 61.158950436413029, 0.0272, 3395.7795238494873)
(57, 61.165415004401225, 0.0271, 3455.1867599487305)
(58, 61.141940510188718, 0.0282, 3514.571177005768)
(59, 61.065569604919574, 0.0289, 3574.1791048049927)
(60, 61.113030956371283, 0.0262, 3633.771982908249)
(61, 61.115009258262837, 0.0276, 3693.4196729660034)
(62, 61.076242559962893, 0.0284, 3753.157493829727)
(63, 61.070735882489451, 0.027, 3812.668323993683)
(64, 61.061085171976998, 0.0275, 3871.8819189071655)
(65, 61.039193288813415, 0.0274, 3931.1609749794006)
(66, 61.036897527251867, 0.0282, 3990.738662958145)
(67, 61.026913458195189, 0.0269, 4050.323818922043)
(68, 61.011603873898892, 0.0259, 4109.782743930817)
(69, 60.990981147282923, 0.0256, 4169.491652011871)
(70, 61.010970515410413, 0.0284, 4229.054379940033)
(71, 60.983975312586665, 0.0279, 4288.496693849564)
(72, 60.947739584569227, 0.0272, 4348.023929834366)
(73, 60.951364794332719, 0.0266, 4407.673085927963)
(74, 60.944390960778868, 0.0287, 4467.213194847107)
(75, 60.938037924248327, 0.0274, 4526.829792976379)
(76, 60.940358553664453, 0.0255, 4586.4598779678345)
(77, 60.902160935826423, 0.0276, 4646.040228843689)
(78, 60.926019974580605, 0.0278, 4705.602161884308)
(79, 60.880623477137313, 0.0286, 4765.124406814575)
(80, 60.884326504256777, 0.0252, 4824.641291856766)
(81, 60.895891477221809, 0.0255, 4884.376802921295)
(82, 60.866223127885604, 0.0267, 4943.8287088871)
(83, 60.880244441470374, 0.0277, 5003.406996965408)
(84, 60.855738841335921, 0.0267, 5063.052402973175)
(85, 60.822765640895675, 0.0276, 5122.655741930008)
(86, 60.829940226710029, 0.0266, 5182.230123996735)
(87, 60.839806456501059, 0.0264, 5241.768728971481)
(88, 60.817193940733155, 0.0264, 5301.363453865051)
(89, 60.789296869572837, 0.0259, 5360.855623006821)
(90, 60.831968347104905, 0.0256, 5420.380604028702)
(91, 60.768526782615332, 0.0261, 5479.954973936081)
(92, 60.784319091088989, 0.0272, 5539.503906965256)
(93, 60.795748730780765, 0.0273, 5599.103437900543)
(94, 60.789114528451641, 0.0285, 5658.455957889557)
(95, 60.74967313465477, 0.026, 5717.824564933777)
(96, 60.767327010030378, 0.0269, 5777.284359931946)
