denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.3844389840351, 0.0865, 63.4104380607605)
(1, 72.311903018120475, 0.0709, 126.66285490989685)
(2, 69.939349256683542, 0.0612, 189.903461933136)
(3, 68.536799044650721, 0.0559, 253.19103908538818)
(4, 67.567506954113341, 0.0529, 316.5900950431824)
(5, 66.901573809934916, 0.0505, 379.93897795677185)
(6, 66.417955077492309, 0.0467, 443.3293979167938)
(7, 65.952246622417633, 0.0471, 506.76716113090515)
(8, 65.684223213573048, 0.0466, 570.1817650794983)
(9, 65.441152884719457, 0.0452, 633.6014139652252)
(10, 65.177568262274832, 0.043, 697.1263971328735)
(11, 64.996620322831973, 0.0411, 760.479101896286)
(12, 64.855803122705765, 0.0402, 823.9317429065704)
(13, 64.699562977767357, 0.0404, 887.1753089427948)
(14, 64.577058969326416, 0.0405, 950.648875951767)
(15, 64.47402516428275, 0.0375, 1014.043438911438)
(16, 64.373949989477225, 0.0373, 1077.464054107666)
(17, 64.309705695999497, 0.0355, 1140.7826840877533)
(18, 64.175423335531121, 0.0352, 1204.2810311317444)
(19, 64.103151948629787, 0.0351, 1267.6264970302582)
(20, 64.04144704565023, 0.0359, 1330.8602669239044)
(21, 63.991617054673341, 0.0346, 1394.1401901245117)
(22, 63.910200678167143, 0.0346, 1457.296714067459)
(23, 63.858536447895212, 0.0334, 1520.4926130771637)
(24, 63.83526331663316, 0.0321, 1583.6585609912872)
(25, 63.763604062247602, 0.033, 1646.9026489257812)
(26, 63.701293897031618, 0.0342, 1710.369313955307)
(27, 63.680532063022653, 0.0331, 1773.9362359046936)
(28, 63.595820043182592, 0.0334, 1837.2832090854645)
(29, 63.564753320221485, 0.0314, 1900.570706129074)
(30, 63.553984691170044, 0.0317, 1964.0859689712524)
(31, 63.496193416702262, 0.0318, 2027.6384110450745)
(32, 63.424764753587588, 0.0308, 2090.8576879501343)
(33, 63.427794357641368, 0.031, 2154.336517095566)
(34, 63.402147836179353, 0.0306, 2217.5588109493256)
(35, 63.369967932593738, 0.0306, 2280.8808901309967)
(36, 63.323715987569187, 0.03, 2344.01273393631)
(37, 63.317086418052043, 0.0292, 2407.601303100586)
(38, 63.302549336545638, 0.0295, 2471.091691970825)
(39, 63.23366148878543, 0.0295, 2534.3732631206512)
(40, 63.245711400468636, 0.0308, 2598.0452859401703)
(41, 63.201192679409182, 0.0284, 2661.450828075409)
(42, 63.162221254640166, 0.0305, 2724.6987149715424)
(43, 63.169147007102602, 0.0297, 2787.9697020053864)
(44, 63.144220274415517, 0.0295, 2851.0664830207825)
(45, 63.137889232085328, 0.0289, 2914.1849880218506)
(46, 63.088443093633536, 0.0281, 2977.5327830314636)
(47, 63.057264606015096, 0.0293, 3041.0195569992065)
(48, 63.007084639668804, 0.0284, 3104.288906097412)
(49, 63.033964074497042, 0.0299, 3167.547183036804)
done.
