denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.154577554469739, 0.076, 66.04884791374207)
(1, 52.960166325886341, 0.0715, 131.56626987457275)
(2, 52.464407457107804, 0.0665, 197.67109084129333)
(3, 52.18948936701031, 0.061, 263.8712520599365)
(4, 51.992867996115926, 0.0595, 329.8177080154419)
(5, 51.835210775776659, 0.0565, 395.6052279472351)
(6, 51.701457930310589, 0.0541, 461.71208691596985)
(7, 51.584432129200586, 0.0521, 527.6830739974976)
(8, 51.480088418034477, 0.0509, 593.625293970108)
(9, 51.38587050032114, 0.0501, 659.714015007019)
(10, 51.300044028697847, 0.0487, 725.6602759361267)
(11, 51.221351573065462, 0.0471, 791.7378668785095)
(12, 51.148823694131487, 0.0455, 857.78768491745)
(13, 51.081691218721438, 0.0438, 923.75119805336)
(14, 51.019340899504293, 0.0433, 989.9175820350647)
(15, 50.961276767734859, 0.0427, 1056.0137469768524)
(16, 50.907081251787623, 0.0422, 1121.9681069850922)
(17, 50.856386262931458, 0.0411, 1188.0881760120392)
(18, 50.808858802048114, 0.0404, 1254.2990758419037)
(19, 50.764196401010061, 0.0401, 1320.399570941925)
(20, 50.722125872055869, 0.04, 1386.4775400161743)
(21, 50.682402167129759, 0.0394, 1452.5240788459778)
(22, 50.644807127480398, 0.0391, 1518.5015239715576)
(23, 50.609147889600948, 0.0387, 1584.3083498477936)
(24, 50.575254272084408, 0.0379, 1650.3119368553162)
(25, 50.542975591567782, 0.0377, 1716.3000378608704)
(26, 50.512177961539678, 0.0374, 1782.1713819503784)
(27, 50.482742292804176, 0.0365, 1848.2420089244843)
(28, 50.454562493805142, 0.0363, 1914.2677369117737)
(29, 50.427543389211515, 0.0361, 1980.217521905899)
(30, 50.401598499921271, 0.0359, 2046.120323896408)
(31, 50.376648325320353, 0.0348, 2112.122283935547)
(32, 50.352619443253332, 0.0347, 2178.3597569465637)
(33, 50.329444215334419, 0.0347, 2244.409049987793)
(34, 50.307060743547908, 0.0346, 2310.325511932373)
(35, 50.2854128176252, 0.0343, 2376.5325260162354)
(36, 50.264449705166683, 0.0341, 2442.491796016693)
(37, 50.244125728906155, 0.0341, 2508.570459842682)
(38, 50.224399661236724, 0.0341, 2574.7248990535736)
(39, 50.205234031144975, 0.0339, 2640.9018540382385)
(40, 50.18659445883948, 0.0335, 2707.0572159290314)
(41, 50.168449112030785, 0.0334, 2773.054246902466)
(42, 50.150768337157814, 0.0337, 2839.059303998947)
(43, 50.133524473498724, 0.0336, 2904.882961034775)
(44, 50.116691814075416, 0.0328, 2970.811012983322)
(45, 50.100246647920692, 0.0329, 3036.7429950237274)
(46, 50.084167313316009, 0.033, 3102.7130069732666)
(47, 50.068434210825423, 0.0324, 3168.69588303566)
(48, 50.053029755756995, 0.0323, 3234.5627999305725)
(49, 50.037938275673284, 0.0325, 3300.3134739398956)
done.
