denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.035097632078219, 0.0819, 65.98426389694214)
(1, 69.744682643709552, 0.0665, 131.92007780075073)
(2, 67.58248274909694, 0.0579, 197.89901280403137)
(3, 66.288900989866377, 0.0562, 263.80554485321045)
(4, 65.423956330042898, 0.0514, 329.72131395339966)
(5, 64.786560611207534, 0.0473, 395.6851019859314)
(6, 64.315159219711418, 0.0467, 461.7377178668976)
(7, 63.964132646555313, 0.0455, 527.5686659812927)
(8, 63.643648134648913, 0.0438, 593.7365849018097)
(9, 63.391356765715798, 0.0438, 659.6668808460236)
(10, 63.199562694068241, 0.0401, 725.4662280082703)
(11, 62.997894878398291, 0.04, 791.407860994339)
(12, 62.861725900710546, 0.039, 857.4733250141144)
(13, 62.705668463055289, 0.0396, 923.3001689910889)
(14, 62.609367275531966, 0.0382, 989.2055249214172)
(15, 62.53159100496876, 0.0372, 1055.266263961792)
(16, 62.400424689658315, 0.0379, 1121.2247350215912)
(17, 62.296019516636619, 0.0348, 1187.187422990799)
(18, 62.212843203506296, 0.035, 1253.2518939971924)
(19, 62.148784099954696, 0.0352, 1318.9291458129883)
(20, 62.082118529820804, 0.0343, 1384.869061946869)
(21, 62.003611839692901, 0.0335, 1450.752424955368)
(22, 61.951668958900775, 0.0322, 1516.752257823944)
(23, 61.866048318843951, 0.0344, 1582.8590269088745)
(24, 61.85662438444038, 0.0318, 1648.9624769687653)
(25, 61.792297244738812, 0.0317, 1714.893352985382)
(26, 61.778263552693815, 0.0321, 1780.6648948192596)
(27, 61.72453638333981, 0.0326, 1846.7015459537506)
(28, 61.647146451644154, 0.0328, 1912.6532168388367)
(29, 61.648340219603035, 0.0324, 1978.695349931717)
(30, 61.619777481125794, 0.0319, 2044.5789330005646)
(31, 61.557703792361622, 0.0288, 2110.351665019989)
(32, 61.522077038772437, 0.03, 2176.364369869232)
(33, 61.503296993552169, 0.0307, 2242.4828469753265)
(34, 61.481265725635502, 0.0298, 2308.516672849655)
(35, 61.456370168061348, 0.0308, 2374.3371880054474)
(36, 61.436208042294808, 0.028, 2440.324002981186)
(37, 61.37606413762596, 0.0289, 2506.159321784973)
(38, 61.355801282350193, 0.0306, 2571.8745818138123)
(39, 61.330097489422656, 0.0284, 2637.6390748023987)
(40, 61.323643607472384, 0.0296, 2703.5345928668976)
(41, 61.29028311524867, 0.0291, 2769.550591945648)
(42, 61.289426868891482, 0.0279, 2835.4480288028717)
(43, 61.257650191244821, 0.0283, 2901.5500569343567)
(44, 61.25783860977208, 0.028, 2967.276412010193)
(45, 61.223271022341585, 0.0286, 3033.3219130039215)
(46, 61.156756130990232, 0.0282, 3099.0814559459686)
(47, 61.158774178117994, 0.0271, 3165.1071858406067)
(48, 61.151816404616902, 0.0279, 3229.2973380088806)
(49, 61.139603196871015, 0.028, 3292.1158587932587)
done.
