denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.318345450002766, 0.0839, 60.065428018569946)
(1, 72.331564255137252, 0.0702, 119.8968870639801)
(2, 69.947661029865998, 0.0602, 179.86892008781433)
(3, 68.450445296540408, 0.0568, 239.9339611530304)
(4, 67.565235450835189, 0.0532, 299.9425950050354)
(5, 66.863992120064935, 0.0491, 359.83836913108826)
(6, 66.41599122023716, 0.052, 419.7709050178528)
(7, 66.0003563108653, 0.0461, 479.8967881202698)
(8, 65.713814149999692, 0.0438, 539.8957459926605)
(9, 65.480785099524482, 0.045, 600.0213451385498)
(10, 65.278491597896334, 0.0422, 659.8712069988251)
(11, 65.081714037853743, 0.0404, 720.0647439956665)
(12, 64.934454470321555, 0.041, 780.1336071491241)
(13, 64.784474217484544, 0.0396, 839.989825963974)
(14, 64.692608738924633, 0.0399, 899.8500421047211)
(15, 64.566798323169721, 0.0384, 959.7077579498291)
(16, 64.478739840515772, 0.0377, 1019.6724891662598)
(17, 64.371821557691234, 0.0407, 1079.4851059913635)
(18, 64.29073417200695, 0.0343, 1139.4261181354523)
(19, 64.218446738082875, 0.0369, 1199.3869049549103)
(20, 64.150370891707524, 0.0372, 1259.5087180137634)
(21, 64.090257659034663, 0.0375, 1319.7677309513092)
(22, 64.040201664006773, 0.0374, 1379.7338690757751)
(23, 63.933918294427116, 0.0341, 1439.7605640888214)
(24, 63.935335140004007, 0.0355, 1499.7332611083984)
(25, 63.900654483512184, 0.0329, 1559.6646950244904)
(26, 63.841884399096735, 0.0355, 1619.6842200756073)
(27, 63.794383091099569, 0.0313, 1679.6060030460358)
(28, 63.726289327424929, 0.033, 1739.7212750911713)
(29, 63.693169474641842, 0.0329, 1799.6742961406708)
(30, 63.661134592739479, 0.0352, 1859.6676371097565)
(31, 63.643047522668702, 0.0328, 1919.734887123108)
(32, 63.605351922622276, 0.0316, 1979.857859134674)
(33, 63.589626885229464, 0.0331, 2039.6755149364471)
(34, 63.545812322458822, 0.0337, 2099.7680909633636)
(35, 63.51703657007937, 0.0326, 2159.7391951084137)
(36, 63.470133600879812, 0.031, 2219.6978571414948)
(37, 63.457498156335447, 0.0294, 2279.5230901241302)
(38, 63.411148097659428, 0.0312, 2339.4690170288086)
(39, 63.395436740333274, 0.0313, 2399.290715932846)
(40, 63.399226500118104, 0.0309, 2459.176903963089)
(41, 63.343047385521118, 0.0305, 2519.1672570705414)
(42, 63.340743717468612, 0.032, 2579.162868976593)
(43, 63.305574375263383, 0.033, 2639.2286491394043)
(44, 63.291318633197577, 0.0333, 2699.007539987564)
(45, 63.282180759120962, 0.0297, 2759.0290989875793)
(46, 63.257550068037197, 0.0302, 2819.0989191532135)
(47, 63.261700807041741, 0.0308, 2878.914885997772)
(48, 63.231871054825142, 0.0299, 2938.7100019454956)
(49, 63.172410258729641, 0.0321, 2998.8843071460724)
(50, 63.186719690907651, 0.0288, 3058.8042731285095)
(51, 63.151641614386989, 0.0303, 3118.8867180347443)
(52, 63.168002091583134, 0.0321, 3179.023381948471)
(53, 63.162906653710245, 0.0315, 3239.1302919387817)
(54, 63.11732923567962, 0.0321, 3299.1097240448)
(55, 63.111087395611314, 0.0292, 3358.847291946411)
(56, 63.078984408839837, 0.0307, 3418.8587789535522)
(57, 63.076438863562167, 0.0292, 3478.789505958557)
(58, 63.056274174972181, 0.0301, 3538.8041999340057)
(59, 63.035344128867962, 0.0306, 3598.983654022217)
(60, 63.002285005611355, 0.03, 3658.8820011615753)
(61, 63.010641600130207, 0.0307, 3718.978163957596)
(62, 63.012681391991045, 0.0273, 3779.0216040611267)
(63, 62.99297426911469, 0.0289, 3838.841014146805)
(64, 62.990959015112814, 0.0283, 3898.8400349617004)
(65, 62.962310171671632, 0.0313, 3958.95050907135)
(66, 62.948008200026585, 0.0288, 4018.895059108734)
(67, 62.966806132546431, 0.0281, 4078.8856971263885)
(68, 62.921371371733272, 0.0288, 4138.784350156784)
(69, 62.872915768098956, 0.0291, 4198.982939958572)
(70, 62.925406831853792, 0.0282, 4259.0465750694275)
(71, 62.918781190619896, 0.0286, 4319.118457078934)
(72, 62.883954957510056, 0.0288, 4379.16835808754)
(73, 62.87267475847824, 0.0305, 4439.113290071487)
(74, 62.848931269187304, 0.0302, 4499.256433010101)
(75, 62.875643102960723, 0.0289, 4559.272655963898)
(76, 62.823191676990568, 0.029, 4619.220005989075)
(77, 62.838983044011364, 0.0298, 4679.277166128159)
(78, 62.831172429210412, 0.0302, 4739.26404094696)
(79, 62.818507010704501, 0.0315, 4799.169851064682)
(80, 62.78682861109732, 0.0292, 4859.313313961029)
(81, 62.783783958327689, 0.0291, 4919.27917599678)
(82, 62.800805467412353, 0.0287, 4979.071506977081)
(83, 62.782371156051489, 0.0278, 5039.189422130585)
(84, 62.773682842983831, 0.0303, 5099.344568014145)
(85, 62.758613558159574, 0.0311, 5159.374387025833)
(86, 62.728757668326693, 0.029, 5219.453747987747)
