denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.107297990436422, 0.0816, 58.90241003036499)
(1, 69.856541607350167, 0.0674, 117.79480409622192)
(2, 67.705096539818129, 0.0618, 176.78356504440308)
(3, 66.3945847059003, 0.0536, 235.70439100265503)
(4, 65.502576210548327, 0.0521, 294.62290692329407)
(5, 64.861314484802364, 0.0517, 353.4389328956604)
(6, 64.377721308907383, 0.049, 412.36368703842163)
(7, 64.053282241835049, 0.0478, 471.2894139289856)
(8, 63.755740339886152, 0.0439, 530.4627258777618)
(9, 63.469995377558156, 0.0438, 589.246593952179)
(10, 63.24950604166974, 0.0411, 647.9531650543213)
(11, 63.078041165313543, 0.0409, 706.6604800224304)
(12, 62.921004958314469, 0.0405, 765.637521982193)
(13, 62.778066009002508, 0.0391, 824.543338060379)
(14, 62.671659087316065, 0.0375, 883.6863739490509)
(15, 62.550501488080386, 0.0369, 942.6034920215607)
(16, 62.473862672281278, 0.0388, 1001.5561339855194)
(17, 62.378630086346519, 0.0359, 1060.4962229728699)
(18, 62.271002241559643, 0.0359, 1119.4083559513092)
(19, 62.236402037580646, 0.0351, 1178.2849440574646)
(20, 62.181134557413998, 0.0352, 1237.3037929534912)
(21, 62.111880600424357, 0.0354, 1296.3070750236511)
(22, 62.061782671789508, 0.0343, 1355.2896130084991)
(23, 61.988967243142483, 0.0336, 1414.187663078308)
(24, 61.938030632815277, 0.0326, 1473.0172259807587)
(25, 61.908949980913043, 0.0313, 1531.9368619918823)
(26, 61.850987732870053, 0.033, 1590.8543410301208)
(27, 61.808045433560331, 0.0322, 1649.6790630817413)
(28, 61.781411543557454, 0.0309, 1708.7189400196075)
(29, 61.752341049300483, 0.0298, 1767.6163890361786)
(30, 61.693009034538342, 0.032, 1826.5385510921478)
(31, 61.673253159289857, 0.0328, 1885.4448630809784)
(32, 61.646414758292387, 0.031, 1944.2907428741455)
(33, 61.598609289456022, 0.0314, 2003.0296380519867)
(34, 61.556251632086244, 0.0313, 2061.9814789295197)
(35, 61.532813725522054, 0.03, 2121.061690092087)
(36, 61.537976913579783, 0.032, 2179.9573040008545)
(37, 61.52299895119608, 0.0303, 2238.9275329113007)
(38, 61.471570768224367, 0.0322, 2297.8420259952545)
(39, 61.422110951486069, 0.0299, 2356.762850999832)
(40, 61.444922576352091, 0.0321, 2415.6342458724976)
(41, 61.402654166549027, 0.0318, 2474.4556288719177)
(42, 61.381531915462183, 0.0296, 2533.387950897217)
(43, 61.391872742273726, 0.0319, 2592.2710649967194)
(44, 61.341152570860125, 0.0304, 2651.216054916382)
(45, 61.314474354152686, 0.0311, 2709.9617779254913)
(46, 61.309022544564222, 0.0289, 2768.977789878845)
(47, 61.325985263749935, 0.0316, 2827.9522109031677)
(48, 61.291895705174213, 0.0302, 2887.061033010483)
(49, 61.246808131216085, 0.03, 2945.8952729701996)
(50, 61.234315390636681, 0.0286, 3004.8139610290527)
(51, 61.237748790639927, 0.03, 3063.744973897934)
(52, 61.236358246046819, 0.03, 3122.7552468776703)
(53, 61.175625630816086, 0.0314, 3181.7762920856476)
(54, 61.195960387096193, 0.0306, 3240.587991952896)
(55, 61.203174730785342, 0.0304, 3299.3582220077515)
(56, 61.142761958965089, 0.0285, 3358.4679639339447)
(57, 61.140311647015892, 0.0291, 3417.4189648628235)
(58, 61.116973778629443, 0.0285, 3476.2124049663544)
(59, 61.099863989104648, 0.0275, 3535.0884189605713)
(60, 61.092863165159869, 0.0278, 3594.0413930416107)
(61, 61.085257540134762, 0.0274, 3652.965311050415)
(62, 61.076164254270729, 0.0291, 3711.802915096283)
(63, 61.075684669264788, 0.0282, 3770.673446893692)
(64, 61.039245313536888, 0.0301, 3829.7226979732513)
(65, 61.057627310031783, 0.0263, 3888.78027009964)
(66, 61.029801595301599, 0.029, 3947.594038963318)
(67, 61.023100916894002, 0.0281, 4006.6077930927277)
(68, 61.002579345683813, 0.0281, 4065.6034169197083)
(69, 61.002995876356017, 0.0284, 4124.675112962723)
(70, 60.994868738341715, 0.0287, 4183.565171957016)
(71, 60.995789705213383, 0.0285, 4242.354567050934)
(72, 60.984713462026313, 0.0296, 4301.343947887421)
(73, 60.969097684156779, 0.0293, 4360.182585000992)
(74, 60.963931622119738, 0.0285, 4419.056463956833)
(75, 60.958092930220531, 0.0285, 4478.138356924057)
(76, 60.954691072078923, 0.0285, 4537.0605680942535)
(77, 60.942128632511853, 0.0252, 4595.793298959732)
(78, 60.923953317396844, 0.0286, 4654.693139076233)
(79, 60.923957654060793, 0.0264, 4713.756146907806)
(80, 60.896226864760564, 0.0271, 4772.539037942886)
(81, 60.870049973566694, 0.0276, 4831.508090019226)
(82, 60.891611372437048, 0.0254, 4890.416258096695)
(83, 60.877861373363665, 0.0277, 4949.368912935257)
(84, 60.861213379904491, 0.029, 5008.320427894592)
(85, 60.842872410534262, 0.0261, 5067.140486955643)
(86, 60.821060085536061, 0.0276, 5126.1417689323425)
(87, 60.838860663931982, 0.0275, 5185.011286020279)
(88, 60.840920944956594, 0.0258, 5244.034007072449)
(89, 60.813856864681313, 0.0269, 5302.822995901108)
(90, 60.813309262364278, 0.0282, 5361.808525085449)
(91, 60.814120871722281, 0.0262, 5420.729470014572)
(92, 60.813261743467592, 0.0268, 5479.84419798851)
(93, 60.776939830345192, 0.025, 5538.906039953232)
(94, 60.79598016364811, 0.0266, 5597.610024929047)
(95, 60.774039853703265, 0.027, 5656.383204936981)
(96, 60.779934728226763, 0.0273, 5715.601687908173)
