denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.439403349822982, 0.085, 63.45302391052246)
(1, 72.20683113686394, 0.0691, 126.90786099433899)
(2, 69.798289283947497, 0.0643, 190.41117811203003)
(3, 68.357426560059707, 0.0529, 253.58403205871582)
(4, 67.49649202339647, 0.053, 317.1183850765228)
(5, 66.829714009133056, 0.0484, 380.5872890949249)
(6, 66.366391437608954, 0.0476, 444.0772430896759)
(7, 65.96159569557058, 0.0442, 507.42863488197327)
(8, 65.654901016299149, 0.0448, 571.0256700515747)
(9, 65.360526033155054, 0.0439, 634.4519100189209)
(10, 65.145529433775451, 0.0421, 697.9544689655304)
(11, 64.994227510401757, 0.0407, 761.3922309875488)
(12, 64.849750488129033, 0.039, 824.9067289829254)
(13, 64.683238292093947, 0.0368, 888.3477509021759)
(14, 64.566787958750737, 0.0397, 951.6732559204102)
(15, 64.457589878818823, 0.0369, 1015.0100541114807)
(16, 64.385582580862064, 0.0365, 1078.645921945572)
(17, 64.257208601350285, 0.0346, 1142.12109708786)
(18, 64.169268856129591, 0.0365, 1205.832690000534)
(19, 64.117692158445308, 0.0358, 1269.2699120044708)
(20, 64.064159627614373, 0.0333, 1332.7926371097565)
(21, 63.958005781522019, 0.034, 1396.2172770500183)
(22, 63.901659489186002, 0.0322, 1459.6473009586334)
(23, 63.852872812008954, 0.0326, 1522.884654045105)
(24, 63.775052804806329, 0.0334, 1586.6350150108337)
(25, 63.752264314120609, 0.0334, 1650.1187489032745)
(26, 63.681593284491044, 0.0332, 1713.5080680847168)
(27, 63.634182182146432, 0.0335, 1777.012617111206)
(28, 63.605403481236031, 0.033, 1840.448250055313)
(29, 63.580949836544271, 0.0309, 1904.000881910324)
(30, 63.519494107349253, 0.0319, 1967.427050113678)
(31, 63.494349838425833, 0.0324, 2030.9744119644165)
(32, 63.468848140393149, 0.0316, 2094.6827750205994)
(33, 63.417561166413037, 0.0297, 2158.220541000366)
(34, 63.400864174599057, 0.0306, 2221.663736104965)
(35, 63.362446096724781, 0.0303, 2285.040271997452)
(36, 63.346029823647477, 0.0305, 2348.415472984314)
(37, 63.307605527772338, 0.0283, 2411.7423191070557)
(38, 63.298416471464698, 0.0302, 2475.435012102127)
(39, 63.239749508158255, 0.0304, 2538.9267649650574)
(40, 63.234200654809527, 0.0291, 2602.2862200737)
(41, 63.194856391418284, 0.0301, 2665.8052389621735)
(42, 63.179896515825682, 0.0282, 2729.4129540920258)
(43, 63.159652652496824, 0.0299, 2792.807729959488)
(44, 63.133579563986416, 0.0315, 2857.3476231098175)
(45, 63.091689095361474, 0.0287, 2923.475277900696)
(46, 63.103003411040831, 0.0284, 2989.8498039245605)
(47, 63.065358044954742, 0.03, 3056.0653479099274)
(48, 63.047990914507665, 0.0299, 3122.161468029022)
(49, 63.035630201787235, 0.0268, 3188.372452020645)
done.
