denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.050000
epoch, cost, error_rate, time
(0, 63.09919803246941, 0.0792, 58.957945108413696)
(1, 58.405571723545002, 0.0737, 117.94353604316711)
(2, 57.670275074440035, 0.0673, 176.92761206626892)
(3, 57.173913545676051, 0.0621, 236.0113501548767)
(4, 56.764452303762603, 0.0555, 294.9944190979004)
(5, 56.417479841338945, 0.0552, 353.8350989818573)
(6, 56.112782383048526, 0.0523, 412.94499015808105)
(7, 55.863719516779426, 0.0517, 471.8599970340729)
(8, 55.658153583464923, 0.0474, 530.3333210945129)
(9, 55.453683154855355, 0.0473, 588.9547779560089)
(10, 55.308869814153773, 0.0485, 647.7067930698395)
(11, 55.144787823847551, 0.0443, 706.3551061153412)
(12, 55.035721229684128, 0.0446, 764.7633321285248)
(13, 54.916307160911522, 0.0448, 823.496768951416)
(14, 54.822567119619031, 0.0438, 882.0436379909515)
(15, 54.751257159587318, 0.0433, 940.6014950275421)
(16, 54.648393318759638, 0.0418, 999.1429240703583)
(17, 54.587455864079018, 0.042, 1057.693316936493)
(18, 54.510260155998708, 0.0405, 1116.231013059616)
(19, 54.46593907801104, 0.04, 1174.786297082901)
(20, 54.402850048358864, 0.0408, 1233.5768530368805)
(21, 54.345894558461872, 0.0397, 1292.208181142807)
(22, 54.295856770393719, 0.0389, 1350.894457101822)
(23, 54.236320519148244, 0.0399, 1409.4856350421906)
(24, 54.221270453721459, 0.0375, 1468.074229001999)
(25, 54.16582339799745, 0.0392, 1526.5953769683838)
(26, 54.143641966321503, 0.0373, 1584.9782710075378)
(27, 54.090867321345826, 0.0385, 1643.4658589363098)
(28, 54.050347744057447, 0.0354, 1702.2183830738068)
(29, 54.021859844313795, 0.0386, 1760.9046020507812)
(30, 53.997330675376531, 0.0356, 1819.3749959468842)
(31, 53.979556793269666, 0.0358, 1877.9934639930725)
(32, 53.938278427579036, 0.0353, 1936.7157599925995)
(33, 53.915138557906296, 0.0356, 1995.3687551021576)
(34, 53.886638462637109, 0.0335, 2053.998615026474)
(35, 53.866482358756464, 0.0326, 2112.5826539993286)
(36, 53.845063744045611, 0.0343, 2171.160959005356)
(37, 53.806693107957827, 0.0341, 2229.71311712265)
(38, 53.793566087521249, 0.0337, 2288.330044031143)
(39, 53.769021931098401, 0.0343, 2346.861067056656)
(40, 53.746606662221765, 0.0346, 2405.4047470092773)
(41, 53.742252590041652, 0.0326, 2463.9227859973907)
(42, 53.71513701720864, 0.0338, 2522.4957740306854)
(43, 53.694500567338544, 0.0333, 2581.1250059604645)
(44, 53.686919678010419, 0.0332, 2639.5318291187286)
(45, 53.651653554835057, 0.0334, 2698.1846899986267)
