denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.050000
epoch, cost, error_rate, time
(0, 62.714755421402863, 0.076, 62.73066210746765)
(1, 58.19881684402516, 0.0678, 125.65613603591919)
(2, 57.491254380227872, 0.0637, 188.44071102142334)
(3, 56.944678206907327, 0.0546, 251.4481999874115)
(4, 56.584849772146775, 0.0522, 314.0157821178436)
(5, 56.231131575272876, 0.0479, 376.72540807724)
(6, 55.949337171361037, 0.048, 439.489333152771)
(7, 55.687163001476392, 0.0454, 502.43260502815247)
(8, 55.494479843629875, 0.0439, 565.2679600715637)
(9, 55.294634634614773, 0.0438, 628.1995460987091)
(10, 55.153336195824004, 0.0411, 690.7928280830383)
(11, 54.994946813599171, 0.0399, 753.6033110618591)
(12, 54.892573541186316, 0.039, 816.4252259731293)
(13, 54.790661112913142, 0.0393, 881.1978349685669)
(14, 54.700455736982697, 0.0387, 943.8973381519318)
(15, 54.618950103859625, 0.0368, 1006.7383279800415)
(16, 54.52967988655778, 0.0359, 1069.4663181304932)
(17, 54.444403608193959, 0.0358, 1132.3753869533539)
(18, 54.385525676407198, 0.0363, 1195.265860080719)
(19, 54.33148012081017, 0.0371, 1257.957913160324)
(20, 54.266744197194605, 0.0349, 1320.9100840091705)
(21, 54.20326148829826, 0.036, 1383.8186390399933)
(22, 54.175851836834916, 0.0334, 1446.8098800182343)
(23, 54.121348169815413, 0.0332, 1509.916568994522)
(24, 54.086416855596028, 0.034, 1572.9219100475311)
(25, 54.035363027837477, 0.0337, 1635.7445449829102)
(26, 54.000489464827758, 0.0345, 1698.635775089264)
(27, 53.967240173691408, 0.0323, 1761.310513973236)
(28, 53.93018770908926, 0.0319, 1824.2188129425049)
(29, 53.887985259712416, 0.0317, 1887.1118121147156)
(30, 53.86497617531937, 0.0331, 1949.8978731632233)
(31, 53.837952822866697, 0.0299, 2012.9004909992218)
(32, 53.811481955947691, 0.0321, 2075.5757200717926)
(33, 53.789330523793502, 0.0314, 2138.388656139374)
(34, 53.752184470433512, 0.0301, 2201.3340599536896)
(35, 53.721704207345773, 0.0317, 2264.302801132202)
(36, 53.710997412970649, 0.0305, 2327.180050134659)
(37, 53.679239396960092, 0.0299, 2390.0107851028442)
(38, 53.662337369854157, 0.0302, 2452.9522659778595)
(39, 53.64103986782839, 0.0306, 2515.9956181049347)
(40, 53.612663217691143, 0.0298, 2579.008520126343)
(41, 53.605810979757187, 0.0283, 2641.6264929771423)
(42, 53.586616485415519, 0.0281, 2704.451823949814)
(43, 53.563060121185295, 0.0286, 2767.1348321437836)
(44, 53.538402910685015, 0.0284, 2830.064134120941)
(45, 53.519895986222764, 0.0276, 2892.98898601532)
(46, 53.515883037607033, 0.0267, 2955.700371026993)
(47, 53.498891361209076, 0.0273, 3018.5471210479736)
(48, 53.48026196921419, 0.0272, 3081.450478076935)
(49, 53.46568960555944, 0.0289, 3144.4154119491577)
done.
