denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.091486361137697, 0.0791, 60.093549966812134)
(1, 69.900301999739895, 0.0678, 120.25096988677979)
(2, 67.767830272498685, 0.0584, 180.2900688648224)
(3, 66.398693945389269, 0.0589, 240.53564286231995)
(4, 65.496718439357153, 0.0541, 301.07922983169556)
(5, 64.869305934441357, 0.051, 361.38099479675293)
(6, 64.390503058262937, 0.052, 421.75819277763367)
(7, 64.037607054971346, 0.0466, 481.97655296325684)
(8, 63.755472281467632, 0.0447, 542.2731468677521)
(9, 63.482271859393386, 0.0439, 602.5797119140625)
(10, 63.27752217575695, 0.0399, 662.3152878284454)
(11, 63.117046704949018, 0.0437, 722.1913349628448)
(12, 62.943160060527653, 0.0414, 781.961051940918)
(13, 62.836272381350213, 0.0386, 841.6158378124237)
(14, 62.712485931733056, 0.0383, 901.2213628292084)
(15, 62.563754975043494, 0.0362, 960.820916891098)
(16, 62.473117651610259, 0.0365, 1020.4767317771912)
(17, 62.429169063586926, 0.0365, 1080.299439907074)
(18, 62.332916774688314, 0.0357, 1140.3708188533783)
(19, 62.263136737106507, 0.0352, 1200.8598399162292)
(20, 62.20864196874431, 0.0351, 1261.0361258983612)
(21, 62.146713678672214, 0.0353, 1321.3981549739838)
(22, 62.102978606873855, 0.0332, 1381.5498728752136)
(23, 62.057959151201111, 0.0327, 1442.0507907867432)
(24, 61.950444719258265, 0.0309, 1502.4930348396301)
(25, 61.947713310913088, 0.033, 1562.8509378433228)
(26, 61.861914973364257, 0.0336, 1623.1120820045471)
(27, 61.829915247904218, 0.031, 1683.471646785736)
(28, 61.759622940744599, 0.0341, 1743.8136899471283)
(29, 61.758960652068573, 0.0328, 1803.87415599823)
(30, 61.735207907390979, 0.0313, 1863.6183388233185)
(31, 61.713981506899607, 0.0292, 1923.2431559562683)
(32, 61.660165581521682, 0.0314, 1982.9990818500519)
(33, 61.630774958273946, 0.0302, 2042.6519088745117)
(34, 61.578257634105093, 0.0329, 2102.236177921295)
(35, 61.590632704932602, 0.0293, 2161.8449127674103)
(36, 61.545751038511646, 0.0298, 2221.5838029384613)
(37, 61.484406575556612, 0.0303, 2281.360536813736)
(38, 61.50580652711858, 0.0299, 2341.0073568820953)
(39, 61.477749421284791, 0.028, 2400.702568769455)
(40, 61.432620808831345, 0.0297, 2460.4476549625397)
(41, 61.424847256365524, 0.0284, 2520.0115809440613)
(42, 61.402654429568372, 0.0294, 2579.6487679481506)
(43, 61.378960394459867, 0.0282, 2639.2401299476624)
(44, 61.367488555592267, 0.0283, 2698.9872109889984)
(45, 61.352058741855004, 0.0269, 2758.64129781723)
(46, 61.348010853754531, 0.0283, 2818.407343864441)
