denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.454148926947227, 0.0846, 63.05458688735962)
(1, 72.299849348230055, 0.068, 126.35539984703064)
(2, 69.858681826794992, 0.0615, 189.51554894447327)
(3, 68.488947284976732, 0.0557, 252.624657869339)
(4, 67.531878508337556, 0.0514, 315.4765520095825)
(5, 66.878950673131271, 0.0529, 378.7436349391937)
(6, 66.368510329972992, 0.0502, 441.92400884628296)
(7, 66.007971229138931, 0.0463, 505.1395559310913)
(8, 65.65720774805439, 0.044, 568.153648853302)
(9, 65.414518095207114, 0.0433, 631.1631059646606)
(10, 65.216213428825398, 0.043, 694.3159339427948)
(11, 64.977340249998093, 0.0396, 757.2533638477325)
(12, 64.864548847342235, 0.0404, 820.3521659374237)
(13, 64.689726498905728, 0.0389, 883.6083738803864)
(14, 64.579656919221449, 0.039, 946.6665229797363)
(15, 64.469607023736359, 0.0381, 1009.6931018829346)
(16, 64.378071958052047, 0.0359, 1072.7093179225922)
(17, 64.26058907912396, 0.0366, 1135.845104932785)
(18, 64.1901757323255, 0.0356, 1199.0155818462372)
(19, 64.14570251818364, 0.0347, 1262.1212389469147)
(20, 64.064738355899735, 0.0351, 1325.3606970310211)
(21, 63.991178650797423, 0.0339, 1388.4496748447418)
(22, 63.925531821348414, 0.0324, 1451.5462028980255)
(23, 63.854457282347163, 0.0351, 1514.6472208499908)
(24, 63.779575041041078, 0.0358, 1577.8573958873749)
(25, 63.774902622511796, 0.033, 1641.0758860111237)
(26, 63.68030783983086, 0.0328, 1704.029258966446)
(27, 63.661824283696141, 0.0325, 1767.1828520298004)
(28, 63.635653666796266, 0.0336, 1830.4305109977722)
(29, 63.557853764839017, 0.0329, 1893.4736080169678)
(30, 63.509584415956958, 0.0344, 1956.7037060260773)
(31, 63.543335094994141, 0.0325, 2019.7304389476776)
(32, 63.479747520387455, 0.0323, 2082.872076034546)
(33, 63.43970044704821, 0.031, 2145.974725008011)
(34, 63.402449283206209, 0.0311, 2209.2059099674225)
(35, 63.382432519027184, 0.0302, 2272.414351940155)
(36, 63.324449285173976, 0.0337, 2335.5120038986206)
(37, 63.291540269399341, 0.0302, 2398.672196865082)
(38, 63.285411034019184, 0.0321, 2461.7685899734497)
(39, 63.281400294861001, 0.0321, 2524.9772720336914)
(40, 63.261073625983521, 0.0293, 2588.234347820282)
(41, 63.180652254437263, 0.0315, 2651.4903469085693)
(42, 63.202058476831439, 0.0309, 2714.4719128608704)
(43, 63.170140774666159, 0.0297, 2777.421375989914)
(44, 63.167434071150225, 0.0303, 2840.6021478176117)
(45, 63.096364276177425, 0.0295, 2903.763921022415)
(46, 63.081194238523125, 0.0314, 2966.65266084671)
(47, 63.068142777958002, 0.0289, 3029.5688378810883)
(48, 63.059209843215605, 0.0313, 3092.8235659599304)
(49, 62.996055646311291, 0.0306, 3155.8947389125824)
done.
