denoising autoencoder, full feedback
epochs = 20
hiddens = 50
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 116.76925564951445, 0.1291, 9.79642391204834)
(1, 101.84797554850674, 0.1228, 19.500036001205444)
(2, 98.913735551388172, 0.1171, 29.363143920898438)
(3, 97.461214755679904, 0.1196, 38.84319996833801)
(4, 96.508680896985325, 0.1181, 48.777228116989136)
(5, 95.881819501350932, 0.1152, 58.302037954330444)
(6, 95.325508277177931, 0.1097, 68.13055610656738)
(7, 94.828653029457882, 0.1131, 77.88477611541748)
(8, 94.428547401431061, 0.1107, 87.6961419582367)
(9, 94.024713155034959, 0.1107, 97.64786291122437)
(10, 93.722640197129621, 0.1106, 107.40662598609924)
(11, 93.402532142801036, 0.1101, 117.0462110042572)
(12, 93.108610030827137, 0.1115, 126.92911195755005)
(13, 92.861334869449493, 0.1114, 136.7008900642395)
(14, 92.646008979150338, 0.1105, 146.32990193367004)
(15, 92.541656060521134, 0.1065, 155.8551630973816)
(16, 92.418198389465402, 0.112, 165.55732202529907)
(17, 92.252436322431137, 0.1081, 175.43594002723694)
(18, 92.141081749907755, 0.1122, 185.3366560935974)
(19, 92.048799926017821, 0.1097, 195.1786971092224)
done.
