denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.996726963257828, 0.0771, 59.1291880607605)
(1, 53.260377462184117, 0.0708, 117.8407678604126)
(2, 52.695116533283262, 0.0658, 176.9796929359436)
(3, 52.385234035379547, 0.0629, 235.9519739151001)
(4, 52.165481245227916, 0.0604, 295.0327670574188)
(5, 51.991673804459836, 0.0582, 354.0863220691681)
(6, 51.845784113629271, 0.0555, 412.9663670063019)
(7, 51.718865897348536, 0.0545, 472.04207706451416)
(8, 51.606010258599675, 0.0531, 531.1192500591278)
(9, 51.504344475818101, 0.0523, 590.2544958591461)
(10, 51.412034859516702, 0.0516, 649.3979070186615)
(11, 51.327763500234518, 0.0511, 708.5168359279633)
(12, 51.250499840302659, 0.0497, 767.5382630825043)
(13, 51.179409654771085, 0.0495, 826.5144989490509)
(14, 51.11381445728626, 0.0494, 885.5451250076294)
(15, 51.053153577152052, 0.0482, 944.5812969207764)
(16, 50.996942845062541, 0.0475, 1003.6906468868256)
(17, 50.944744534967604, 0.0462, 1062.7590029239655)
(18, 50.896155631632482, 0.0454, 1121.8027470111847)
(19, 50.850806306170028, 0.0444, 1180.7964279651642)
(20, 50.808360601733803, 0.0438, 1239.9050869941711)
(21, 50.768516854111255, 0.0429, 1298.8799738883972)
(22, 50.731007304720855, 0.0421, 1357.827425956726)
(23, 50.695596735650057, 0.0413, 1416.8840239048004)
(24, 50.6620797561432, 0.0406, 1475.9970500469208)
(25, 50.630277257363559, 0.04, 1535.0761179924011)
(26, 50.600033327058682, 0.0398, 1594.0575919151306)
(27, 50.571212115421062, 0.0396, 1653.2939360141754)
(28, 50.543694905354762, 0.0393, 1712.2180819511414)
(29, 50.517377817942034, 0.0387, 1771.285229921341)
(30, 50.492169747022096, 0.0383, 1830.2475519180298)
(31, 50.467990531884169, 0.0381, 1889.4112548828125)
(32, 50.444769077663715, 0.0377, 1948.4404208660126)
(33, 50.422441328289253, 0.0379, 2007.3072609901428)
(34, 50.400948616377264, 0.0383, 2066.160323858261)
(35, 50.380236619697264, 0.038, 2125.1223340034485)
(36, 50.360254691339328, 0.0378, 2184.13818693161)
(37, 50.340955358748346, 0.0378, 2243.301549911499)
(38, 50.322293941325491, 0.0374, 2302.29439496994)
(39, 50.304228294402961, 0.0379, 2361.4374198913574)
(40, 50.28671867804988, 0.0379, 2420.6437509059906)
(41, 50.269727729425519, 0.038, 2479.6772599220276)
(42, 50.253220512415325, 0.0379, 2538.6346430778503)
(43, 50.237164616466885, 0.0374, 2597.6433749198914)
(44, 50.22153025204603, 0.0374, 2656.6845948696136)
(45, 50.206290252219453, 0.0373, 2715.7065448760986)
(46, 50.191419908731845, 0.0373, 2774.643872976303)
(47, 50.176896664951244, 0.0369, 2833.728012084961)
(48, 50.162699753901435, 0.0371, 2892.8110690116882)
(49, 50.148809854700239, 0.0369, 2951.9372220039368)
(50, 50.13520881430177, 0.0371, 3010.8362579345703)
(51, 50.121879473552262, 0.0371, 3069.840838909149)
(52, 50.108805604105292, 0.037, 3128.9281780719757)
(53, 50.095971921400668, 0.0371, 3188.0223410129547)
(54, 50.083364155921558, 0.0369, 3247.1880218982697)
(55, 50.070969239117503, 0.0369, 3306.1957490444183)
(56, 50.058775722088633, 0.037, 3365.273514032364)
(57, 50.046774343722561, 0.0367, 3424.419363975525)
(58, 50.034958163360393, 0.0367, 3483.5566489696503)
(59, 50.023321859534363, 0.0367, 3542.7184040546417)
(60, 50.011860745050271, 0.0363, 3601.7604229450226)
(61, 50.000570157014174, 0.0362, 3660.74866604805)
(62, 49.989445273586462, 0.0361, 3719.907424926758)
(63, 49.978481143514166, 0.0364, 3778.8922259807587)
(64, 49.967672769047553, 0.0362, 3837.8692739009857)
(65, 49.957015177533691, 0.0364, 3896.8632650375366)
(66, 49.946503471352472, 0.0361, 3955.9788389205933)
(67, 49.936132863644559, 0.0357, 4015.0506649017334)
(68, 49.92589870782021, 0.0356, 4074.145339012146)
(69, 49.915796525934532, 0.0353, 4133.029341936111)
(70, 49.905822039616034, 0.0354, 4192.186152935028)
(71, 49.895971206948957, 0.0358, 4251.228765010834)
(72, 49.886240268774536, 0.0358, 4310.169507026672)
(73, 49.876625806088398, 0.0357, 4369.145978927612)
(74, 49.86712480548924, 0.0359, 4428.182520866394)
(75, 49.857734722166704, 0.0361, 4487.125351905823)
(76, 49.848453522843251, 0.0364, 4546.136390924454)
(77, 49.839279689902746, 0.0365, 4605.175539970398)
(78, 49.830212176488658, 0.0368, 4664.256842851639)
(79, 49.821250317699999, 0.0373, 4723.2933349609375)
(80, 49.812393715480894, 0.0373, 4782.477555990219)
(81, 49.803642116966238, 0.0375, 4841.594055891037)
(82, 49.794995301319211, 0.0373, 4900.695014953613)
(83, 49.786452984623899, 0.0377, 4959.591669082642)
(84, 49.778014748701274, 0.0378, 5018.652663946152)
(85, 49.769679996169899, 0.0379, 5077.738270044327)
(86, 49.761447929863891, 0.0377, 5136.7010090351105)
(87, 49.753317551551191, 0.0377, 5195.729403018951)
(88, 49.745287673473932, 0.038, 5254.703197956085)
(89, 49.737356936880417, 0.0381, 5313.808887958527)
(90, 49.729523833672765, 0.0384, 5372.96697306633)
(91, 49.72178672894465, 0.0385, 5431.929126024246)
(92, 49.714143883992556, 0.0387, 5491.063889026642)
(93, 49.706593480289591, 0.0389, 5550.083281040192)
(94, 49.699133645729177, 0.0392, 5609.222400903702)
(95, 49.691762484225713, 0.0389, 5668.440378904343)
(96, 49.684478108296936, 0.0389, 5727.525495052338)
