denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.050000
epoch, cost, error_rate, time
(0, 62.768852802501236, 0.0742, 62.715108156204224)
(1, 58.218579658289251, 0.0676, 125.46232795715332)
(2, 57.483580978710101, 0.0636, 188.11197805404663)
(3, 56.980802562167568, 0.0556, 250.90463399887085)
(4, 56.614774481545481, 0.0503, 313.29729199409485)
(5, 56.268789265460079, 0.0481, 376.0895071029663)
(6, 55.943160659026994, 0.0442, 438.8921661376953)
(7, 55.704273193513529, 0.0444, 501.66794896125793)
(8, 55.484570786052068, 0.0452, 564.5755910873413)
(9, 55.294770547901166, 0.0439, 627.1781690120697)
(10, 55.162707999727083, 0.0417, 689.9693429470062)
(11, 55.00214037723233, 0.0415, 752.6997921466827)
(12, 54.890434590284642, 0.0403, 815.5451130867004)
(13, 54.77876361906403, 0.0398, 878.2360100746155)
(14, 54.676765575289927, 0.0394, 941.2451169490814)
(15, 54.607597103065906, 0.0392, 1004.0004160404205)
(16, 54.518734985475547, 0.0381, 1066.7695319652557)
(17, 54.45873098403716, 0.0377, 1129.5477361679077)
(18, 54.388868937448635, 0.038, 1192.272633075714)
(19, 54.331719213729308, 0.0361, 1255.0988261699677)
(20, 54.291741964401993, 0.0359, 1317.8525969982147)
(21, 54.222565611348834, 0.0353, 1380.3779389858246)
(22, 54.184792811519024, 0.0343, 1443.0797951221466)
(23, 54.140172602334935, 0.0358, 1505.8821120262146)
(24, 54.075159385531933, 0.0352, 1568.709860086441)
(25, 54.050478134052561, 0.0359, 1631.302078962326)
(26, 54.008785150907315, 0.0331, 1693.9508271217346)
(27, 53.965551493186851, 0.0344, 1756.6915130615234)
(28, 53.92974777225001, 0.0336, 1819.5513820648193)
(29, 53.910297439958157, 0.0335, 1882.013141155243)
(30, 53.869978048179021, 0.0323, 1944.7286241054535)
(31, 53.842302490871738, 0.0332, 2007.4548110961914)
(32, 53.829708085425779, 0.0311, 2070.0990731716156)
(33, 53.792725945830448, 0.0326, 2132.717626094818)
(34, 53.764810274380224, 0.0309, 2195.32310295105)
(35, 53.742636038322772, 0.0314, 2258.0105199813843)
(36, 53.720769594371795, 0.0297, 2320.6548659801483)
(37, 53.704534194843333, 0.0316, 2383.3631999492645)
(38, 53.679687851723543, 0.0298, 2446.082971096039)
(39, 53.656867230082511, 0.0293, 2508.824056148529)
(40, 53.640383105864238, 0.0298, 2571.748733997345)
(41, 53.618192527221062, 0.0288, 2634.533954143524)
(42, 53.588625497480344, 0.0292, 2697.2144680023193)
(43, 53.570775171877784, 0.0283, 2759.895749092102)
(44, 53.548369397581226, 0.0276, 2822.621145963669)
(45, 53.542960419668546, 0.0294, 2885.356775045395)
(46, 53.526065386868012, 0.0283, 2948.112274169922)
(47, 53.516384872513058, 0.0293, 3010.94807100296)
(48, 53.495407269557788, 0.0273, 3073.5499181747437)
(49, 53.4760370146467, 0.0272, 3136.0587871074677)
done.
