denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.883538634063164, 0.0785, 58.68711590766907)
(1, 53.241683576940616, 0.0725, 117.31181383132935)
(2, 52.679667573730043, 0.0667, 175.81141996383667)
(3, 52.368846692208088, 0.0628, 234.28873682022095)
(4, 52.148549292929914, 0.0597, 292.7879059314728)
(5, 51.975641971534849, 0.0569, 351.32184386253357)
(6, 51.831872668383156, 0.0552, 409.8828589916229)
(7, 51.707935683925278, 0.0524, 468.18650579452515)
(8, 51.598617432448286, 0.0505, 526.7565639019012)
(9, 51.500755938601515, 0.0493, 585.4723618030548)
(10, 51.412289767699818, 0.0484, 644.1664988994598)
(11, 51.331763077182963, 0.048, 702.6636309623718)
(12, 51.258073132248747, 0.0472, 761.3559708595276)
(13, 51.19034143875691, 0.0474, 819.8815629482269)
(14, 51.12783415897735, 0.047, 878.5041468143463)
(15, 51.069927773774133, 0.0464, 937.2118208408356)
(16, 51.016094531036217, 0.0456, 996.0590698719025)
(17, 50.965885685309857, 0.045, 1054.6085369586945)
(18, 50.918916236229286, 0.0438, 1113.2740378379822)
(19, 50.874855215425633, 0.0433, 1172.059868812561)
(20, 50.833416131893614, 0.0429, 1230.795441865921)
(21, 50.794348215759712, 0.0422, 1289.416958808899)
(22, 50.757430186121006, 0.0415, 1348.0871019363403)
(23, 50.722466234948214, 0.0411, 1406.818200826645)
(24, 50.68928303903995, 0.0406, 1465.475333929062)
(25, 50.65772618462119, 0.0399, 1523.9852149486542)
(26, 50.627656596752743, 0.0389, 1582.6429488658905)
(27, 50.598949368866087, 0.0387, 1641.3166289329529)
(28, 50.57149357549617, 0.0386, 1699.8918449878693)
(29, 50.545190171088009, 0.0378, 1758.4267427921295)
(30, 50.519949316615239, 0.0376, 1817.1206789016724)
(31, 50.495689492097341, 0.0372, 1875.769651889801)
(32, 50.472337743630483, 0.0368, 1934.4805917739868)
(33, 50.449829671250754, 0.0366, 1993.3129379749298)
(34, 50.428108738111831, 0.0368, 2051.89511179924)
(35, 50.407125072759612, 0.0365, 2110.476851940155)
(36, 50.386834140783286, 0.0367, 2169.0276448726654)
(37, 50.367195619179, 0.0361, 2227.8150877952576)
(38, 50.348172575632375, 0.0359, 2286.552439928055)
(39, 50.329730813610986, 0.0359, 2345.2993857860565)
(40, 50.311838291347101, 0.0354, 2403.9913108348846)
(41, 50.294464659619514, 0.0357, 2462.7817759513855)
(42, 50.277580970978512, 0.0357, 2521.4771218299866)
(43, 50.26115956510607, 0.0353, 2580.253693819046)
(44, 50.245174100258474, 0.0346, 2638.975244998932)
(45, 50.22959967825679, 0.0343, 2697.6882507801056)
(46, 50.214412996720228, 0.0338, 2756.184954881668)
(47, 50.199592462986722, 0.0332, 2814.9926319122314)
(48, 50.185118221284085, 0.0333, 2873.579076766968)
(49, 50.170972073937385, 0.033, 2932.2142629623413)
(50, 50.157137309517182, 0.0328, 2990.972860813141)
(51, 50.143598476558793, 0.0322, 3049.6066319942474)
(52, 50.13034115163461, 0.0323, 3108.2305929660797)
(53, 50.117351741091078, 0.0323, 3166.8407258987427)
(54, 50.104617333880171, 0.0323, 3225.3540048599243)
(55, 50.092125603184009, 0.0321, 3284.006331920624)
(56, 50.079864746409534, 0.0324, 3342.832880973816)
(57, 50.067823454776516, 0.0322, 3401.4584789276123)
(58, 50.055990908092461, 0.0322, 3460.2004129886627)
(59, 50.044356794088401, 0.0322, 3518.627504825592)
(60, 50.032911357389075, 0.0322, 3577.3032689094543)
(61, 50.021645488136819, 0.0321, 3635.7899038791656)
(62, 50.010550843434871, 0.0322, 3694.4403138160706)
(63, 49.999619946107103, 0.0322, 3753.1355628967285)
(64, 49.988846185738858, 0.032, 3811.7197349071503)
(65, 49.978223715344392, 0.032, 3870.2501997947693)
(66, 49.967747308341487, 0.0318, 3928.893501996994)
(67, 49.957412224898285, 0.0318, 3987.527250766754)
(68, 49.947214092886249, 0.0319, 4046.2011139392853)
(69, 49.937148805416371, 0.0319, 4104.8943247795105)
(70, 49.927212450678873, 0.0317, 4163.3073699474335)
(71, 49.917401284665686, 0.032, 4221.99324297905)
(72, 49.907711738994351, 0.0322, 4280.717175960541)
(73, 49.898140446004376, 0.0326, 4339.365000963211)
(74, 49.888684265993888, 0.0329, 4398.010990858078)
(75, 49.879340308174832, 0.0328, 4456.636648893356)
(76, 49.870105940328813, 0.033, 4515.246249914169)
(77, 49.860978782971188, 0.033, 4573.998139858246)
(78, 49.85195668606481, 0.0334, 4632.633336782455)
(79, 49.843037690960045, 0.0338, 4691.246793985367)
(80, 49.834219984511535, 0.0336, 4749.794005870819)
(81, 49.825501853529637, 0.0336, 4808.550920963287)
(82, 49.81688164528618, 0.0336, 4867.091532945633)
(83, 49.808357736325455, 0.0338, 4925.843719959259)
