denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.891902514737858, 0.0781, 58.318291902542114)
(1, 53.248364807078104, 0.0721, 116.7522280216217)
(2, 52.684654595710988, 0.0679, 175.17325496673584)
(3, 52.369595078382346, 0.0645, 233.6998529434204)
(4, 52.14496457510414, 0.0612, 291.6993100643158)
(5, 51.968382328585953, 0.059, 350.29053711891174)
(6, 51.821810057443976, 0.0575, 408.7584619522095)
(7, 51.695865854773842, 0.0559, 467.3071210384369)
(8, 51.585111915282553, 0.0546, 525.6928000450134)
(9, 51.486161012978975, 0.0533, 583.9822769165039)
(10, 51.396762313852236, 0.0525, 642.3479111194611)
(11, 51.315324260437514, 0.052, 700.737410068512)
(12, 51.240698408829481, 0.0511, 759.2850949764252)
(13, 51.172042078634064, 0.0501, 817.7133769989014)
(14, 51.108680323246233, 0.0484, 876.268522977829)
(15, 51.050026779549057, 0.0469, 934.6885759830475)
(16, 50.995558228489003, 0.0464, 993.003664970398)
(17, 50.944805932843735, 0.0451, 1051.4685020446777)
(18, 50.89735009269716, 0.0443, 1109.794583082199)
(19, 50.852823954533235, 0.0439, 1168.227802991867)
(20, 50.810925836954397, 0.0431, 1226.665116071701)
(21, 50.771416124015076, 0.0427, 1285.0683810710907)
(22, 50.734093471843174, 0.0418, 1343.6091151237488)
(23, 50.69877667673272, 0.0416, 1402.1513259410858)
(24, 50.665298805779571, 0.0411, 1460.7582190036774)
(25, 50.633506566653189, 0.0406, 1519.2200660705566)
(26, 50.60325975081129, 0.0402, 1577.5946099758148)
(27, 50.574429074097125, 0.0399, 1635.9569458961487)
(28, 50.546894085847889, 0.0399, 1694.496216058731)
(29, 50.520542105963379, 0.0396, 1753.0564069747925)
(30, 50.495269947524633, 0.0395, 1811.4027450084686)
(31, 50.470988208005551, 0.0395, 1870.005865097046)
(32, 50.447622016645383, 0.0391, 1928.5153028964996)
(33, 50.425106512923932, 0.0384, 1987.1498141288757)
(34, 50.403382034894413, 0.0384, 2045.495227098465)
(35, 50.382392047348027, 0.0382, 2103.8143219947815)
(36, 50.362083243850485, 0.0379, 2162.2816870212555)
(37, 50.342406594685194, 0.0379, 2220.675453901291)
(38, 50.323318503918735, 0.0375, 2279.2132530212402)
(39, 50.30478129203172, 0.0379, 2337.7077140808105)
(40, 50.286762430366025, 0.0379, 2396.3730471134186)
(41, 50.26923303948027, 0.0377, 2454.9936769008636)
(42, 50.252166668923962, 0.0373, 2513.4377460479736)
(43, 50.235538664269747, 0.0372, 2571.8749899864197)
(44, 50.21932583523418, 0.0373, 2630.444036960602)
(45, 50.20350619434334, 0.0369, 2688.9964179992676)
(46, 50.188058762949936, 0.037, 2747.388911008835)
(47, 50.17296349724171, 0.0368, 2805.687012910843)
(48, 50.158201330674707, 0.0372, 2864.0822429656982)
(49, 50.143754296044861, 0.0375, 2922.4400770664215)
(50, 50.129605688842389, 0.0374, 2980.743087053299)
(51, 50.11574022751612, 0.0378, 3039.2741899490356)
(52, 50.102144151301033, 0.0377, 3097.689656972885)
(53, 50.088805198095642, 0.0378, 3156.0761959552765)
(54, 50.07571244410353, 0.0376, 3214.53133893013)
(55, 50.062856052261289, 0.0374, 3272.917223930359)
(56, 50.050227018911556, 0.0373, 3331.5793330669403)
(57, 50.037816994818556, 0.0374, 3390.0473730564117)
(58, 50.025618208824305, 0.0376, 3448.4097669124603)
(59, 50.013623481101412, 0.0372, 3506.927745103836)
(60, 50.001826291030234, 0.0372, 3565.372442960739)
(61, 49.990220856384624, 0.0372, 3623.772488117218)
(62, 49.978802182660125, 0.0373, 3682.0037689208984)
(63, 49.967566053504328, 0.0374, 3740.6114881038666)
(64, 49.95650895289635, 0.0377, 3799.0389699935913)
(65, 49.945627929749321, 0.0374, 3857.48180603981)
(66, 49.934920428962748, 0.0372, 3915.88875412941)
(67, 49.924384115626005, 0.0374, 3974.338629961014)
(68, 49.914016713804052, 0.0374, 4032.7453479766846)
(69, 49.903815873502225, 0.0375, 4091.037560939789)
(70, 49.893779072018681, 0.0371, 4149.501642942429)
(71, 49.883903550303692, 0.0366, 4208.079024076462)
(72, 49.874186281106212, 0.0363, 4266.5081179142)
(73, 49.864623963501259, 0.036, 4324.909591913223)
(74, 49.855213037614362, 0.0358, 4383.419620990753)
(75, 49.845949713600625, 0.0357, 4441.8853549957275)
(76, 49.836830009604768, 0.0356, 4500.384140014648)
(77, 49.827849794240137, 0.0358, 4558.820759057999)
(78, 49.819004829988756, 0.0358, 4617.221867084503)
(79, 49.810290814672484, 0.0355, 4675.812575101852)
(80, 49.801703419152226, 0.0354, 4734.3502950668335)
(81, 49.793238320425374, 0.0355, 4792.842983007431)
(82, 49.784891230381334, 0.0356, 4851.315301895142)
(83, 49.776657921459154, 0.0354, 4909.787912130356)
(84, 49.76853425084331, 0.0353, 4968.027925014496)
(85, 49.760516184835865, 0.0347, 5026.277198076248)
(86, 49.752599823780727, 0.035, 5084.81711101532)
(87, 49.744781425955708, 0.0353, 5143.461422920227)
(88, 49.737057426879403, 0.0351, 5201.742739915848)
(89, 49.729424449736591, 0.0349, 5260.173454046249)
(90, 49.721879304464217, 0.0349, 5318.647063970566)
(91, 49.714418976645049, 0.0349, 5376.9550569057465)
(92, 49.707040610641442, 0.0348, 5435.29736495018)
(93, 49.699741492391681, 0.0348, 5493.786693096161)
(94, 49.692519035257625, 0.0348, 5551.974858999252)
(95, 49.685370769802844, 0.0349, 5610.430628061295)
(96, 49.678294336527728, 0.035, 5668.769009113312)
(97, 49.671287480710951, 0.0352, 5727.125207901001)
(98, 49.664348049049096, 0.0354, 5785.622133016586)
(99, 49.657473988469064, 0.0355, 5843.958163022995)
done.
