denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.00890498346412, 0.0834, 59.44391322135925)
(1, 69.799252725898043, 0.0655, 118.87524318695068)
(2, 67.609205066706664, 0.0583, 178.49880409240723)
(3, 66.295111051659575, 0.0549, 238.11402320861816)
(4, 65.389954827524221, 0.0534, 297.49134707450867)
(5, 64.799864638722156, 0.0508, 357.2339451313019)
(6, 64.346310818130718, 0.0468, 416.64398217201233)
(7, 64.007867021101958, 0.0468, 476.0647962093353)
(8, 63.718854806889119, 0.0464, 535.4948391914368)
(9, 63.452303382240849, 0.0436, 594.9650120735168)
(10, 63.236281851412777, 0.0431, 654.3756430149078)
(11, 63.095409003993325, 0.0416, 713.8135480880737)
(12, 62.930602609208236, 0.0433, 773.25710105896)
(13, 62.791397960014429, 0.0395, 832.5269300937653)
(14, 62.678437666490112, 0.0372, 892.1718471050262)
(15, 62.567728257316325, 0.0388, 951.7159020900726)
(16, 62.440849154862846, 0.038, 1011.1287281513214)
(17, 62.383830685807169, 0.0373, 1070.5789461135864)
(18, 62.312107511061264, 0.0371, 1130.0614440441132)
(19, 62.230649103776422, 0.036, 1189.3068931102753)
(20, 62.156278089515169, 0.0367, 1248.8324692249298)
(21, 62.110225177261952, 0.0355, 1308.478912115097)
(22, 62.033122637836883, 0.0358, 1367.9834702014923)
(23, 61.976646534128811, 0.0356, 1427.3427731990814)
(24, 61.954353699782629, 0.0351, 1486.7697360515594)
(25, 61.901847877730184, 0.0336, 1546.2238790988922)
(26, 61.851620598011955, 0.0337, 1605.6981592178345)
(27, 61.800004784423486, 0.0348, 1665.1442561149597)
(28, 61.767465770843017, 0.0331, 1724.7237610816956)
(29, 61.724137342448472, 0.0334, 1784.284017086029)
(30, 61.688172280714774, 0.0331, 1843.8545100688934)
(31, 61.691101101029886, 0.0322, 1903.3167412281036)
(32, 61.691002768911552, 0.0321, 1962.8649821281433)
(33, 61.606813598270143, 0.0322, 2022.450602054596)
(34, 61.594034233979741, 0.0341, 2081.959114074707)
(35, 61.551217296180866, 0.0324, 2141.5075101852417)
(36, 61.534942987132389, 0.0335, 2200.8855340480804)
(37, 61.505103555412276, 0.0311, 2260.2839272022247)
(38, 61.496450889197739, 0.0291, 2319.963100194931)
(39, 61.495013252923684, 0.0319, 2379.463891029358)
(40, 61.443723716142948, 0.0322, 2439.048707008362)
(41, 61.411901095040619, 0.0314, 2498.5055232048035)
(42, 61.417173372039713, 0.0313, 2557.98880815506)
(43, 61.38065538436755, 0.0309, 2617.509885072708)
(44, 61.336612716236317, 0.0289, 2676.989664077759)
(45, 61.304739835132381, 0.0311, 2736.516218185425)
(46, 61.342812427540416, 0.0317, 2795.9349682331085)
(47, 61.320940298412545, 0.0296, 2855.3165621757507)
(48, 61.297530461971604, 0.0298, 2914.9066030979156)
(49, 61.250823894187413, 0.031, 2974.6174499988556)
(50, 61.237739482491222, 0.0301, 3034.172951221466)
(51, 61.266041054003871, 0.0275, 3093.6109161376953)
(52, 61.238536010326548, 0.0298, 3153.0306980609894)
(53, 61.205992458429058, 0.0311, 3212.268648147583)
(54, 61.208794131438445, 0.0294, 3271.8533680438995)
(55, 61.168351854414681, 0.0295, 3331.3422000408173)
(56, 61.159073790761383, 0.0286, 3390.7062520980835)
(57, 61.149500739121066, 0.0282, 3450.1122150421143)
(58, 61.125423599718054, 0.0289, 3509.705231189728)
(59, 61.137313276859047, 0.0275, 3569.3184270858765)
(60, 61.116200134249254, 0.0295, 3628.6983342170715)
(61, 61.095534507222418, 0.0287, 3688.1729412078857)
(62, 61.096154691631682, 0.0294, 3747.6240611076355)
(63, 61.084505300471058, 0.0303, 3807.2270731925964)
(64, 61.070737308099424, 0.0279, 3866.720088005066)
(65, 61.050479391686011, 0.0291, 3926.1836540699005)
(66, 61.030473048413612, 0.0283, 3985.6724870204926)
(67, 61.028572764040703, 0.0292, 4045.1347970962524)
(68, 61.010608403787771, 0.0274, 4104.736064195633)
(69, 61.014586600943048, 0.0292, 4164.100675106049)
(70, 60.998945157691665, 0.0283, 4223.58380818367)
(71, 60.973478643962288, 0.0295, 4283.016172170639)
(72, 60.999114259828431, 0.0286, 4342.5439240932465)
(73, 60.972259808025697, 0.0288, 4401.961981058121)
(74, 60.952581785421643, 0.0272, 4461.528046131134)
(75, 60.954984342082916, 0.0278, 4520.950393199921)
(76, 60.956182349698615, 0.0288, 4580.418518066406)
(77, 60.929079998091652, 0.028, 4639.804146051407)
(78, 60.921397873598536, 0.0287, 4699.081516027451)
(79, 60.891728027856651, 0.0275, 4758.503236055374)
(80, 60.897811942013888, 0.0277, 4817.871157169342)
(81, 60.864866332454781, 0.0277, 4877.217408180237)
(82, 60.877871559494551, 0.0274, 4936.606435060501)
(83, 60.876483328682745, 0.0289, 4995.904704093933)
(84, 60.867348432944276, 0.0269, 5055.280214071274)
(85, 60.872632091281211, 0.027, 5114.908574104309)
(86, 60.86195780858003, 0.027, 5174.168179035187)
(87, 60.823445176021835, 0.0266, 5233.474360227585)
(88, 60.851317530674095, 0.0266, 5292.743376016617)
(89, 60.825933249120766, 0.0287, 5352.065088033676)
(90, 60.80762529650837, 0.0266, 5411.356076002121)
(91, 60.79791356979576, 0.026, 5470.831864118576)
(92, 60.795207913209964, 0.0269, 5530.237992048264)
(93, 60.76919484206735, 0.0276, 5589.498594045639)
(94, 60.779075782979056, 0.0284, 5648.686453104019)
(95, 60.750013517167943, 0.0268, 5708.134099006653)
(96, 60.736938718783321, 0.0277, 5767.661775112152)
(97, 60.754439715483713, 0.0268, 5827.131799221039)
(98, 60.755342816763779, 0.0284, 5886.204733133316)
(99, 60.735631428956729, 0.0261, 5945.7453582286835)
done.
