denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.050000
epoch, cost, error_rate, time
(0, 62.69959946172829, 0.0776, 63.13243913650513)
(1, 58.18417605526961, 0.0676, 125.97233200073242)
(2, 57.423561656309609, 0.0634, 189.07239603996277)
(3, 56.945152288973993, 0.058, 251.84165716171265)
(4, 56.554073946579386, 0.0542, 314.79278206825256)
(5, 56.232348347778796, 0.0502, 377.6706621646881)
(6, 55.958712025359887, 0.051, 440.7271320819855)
(7, 55.68429535231413, 0.048, 503.7658760547638)
(8, 55.490527010358335, 0.0443, 566.5033280849457)
(9, 55.316982194587574, 0.0454, 629.4140660762787)
(10, 55.152786989647474, 0.0452, 692.4894831180573)
(11, 55.021211462254776, 0.0448, 755.1795861721039)
(12, 54.891206485805426, 0.0401, 818.209391117096)
(13, 54.79117981215061, 0.0412, 881.285854101181)
(14, 54.693056915988087, 0.0416, 944.1440110206604)
(15, 54.60148145120791, 0.0401, 1007.0748391151428)
(16, 54.51878414130632, 0.0398, 1069.8485901355743)
(17, 54.46676646393518, 0.0385, 1132.7543132305145)
(18, 54.394835579466346, 0.0371, 1195.4775581359863)
(19, 54.332057803426871, 0.0386, 1258.2775931358337)
(20, 54.278250899086906, 0.0382, 1321.2425532341003)
(21, 54.229750341981251, 0.0353, 1384.3169960975647)
(22, 54.178003161263952, 0.0345, 1447.30136013031)
(23, 54.124071296850616, 0.0356, 1510.0015151500702)
(24, 54.090176957622354, 0.034, 1572.6531541347504)
(25, 54.057089394951625, 0.0338, 1635.5276041030884)
(26, 54.003458400409052, 0.0344, 1698.0511980056763)
(27, 53.965616366023951, 0.0324, 1760.916489124298)
(28, 53.941755477171888, 0.0342, 1824.026316165924)
(29, 53.903036165333205, 0.032, 1886.840273141861)
(30, 53.876978067356013, 0.0326, 1949.7603142261505)
(31, 53.848762288241254, 0.0323, 2012.2579591274261)
(32, 53.82502165894752, 0.0322, 2074.9588701725006)
(33, 53.790539857480503, 0.032, 2137.679556131363)
(34, 53.774327142068522, 0.032, 2200.5798041820526)
(35, 53.753165273581658, 0.0315, 2263.503338098526)
(36, 53.719742299799769, 0.0316, 2326.2925481796265)
(37, 53.695581024891709, 0.031, 2389.147812128067)
(38, 53.673704964306509, 0.0322, 2452.204973220825)
(39, 53.648972062500249, 0.0305, 2515.0813751220703)
(40, 53.622046872372891, 0.0311, 2577.9467220306396)
(41, 53.609637713091701, 0.0301, 2640.730711221695)
(42, 53.591881872475774, 0.0294, 2703.7295660972595)
(43, 53.576980290157088, 0.0295, 2766.631007194519)
(44, 53.561284820947016, 0.0302, 2829.5304551124573)
(45, 53.550249886587252, 0.0286, 2892.3393161296844)
(46, 53.531755431769135, 0.0281, 2955.1962571144104)
(47, 53.505040136621091, 0.0301, 3017.959357023239)
(48, 53.486191071967966, 0.0313, 3081.1653640270233)
(49, 53.485147464122399, 0.0291, 3143.9674701690674)
done.
