denoising autoencoder, full feedback
epochs = 100
hiddens = 1000
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.036147181036341, 0.0827, 59.54291391372681)
(1, 69.897758897418584, 0.0716, 119.36804389953613)
(2, 67.742473782693423, 0.0615, 179.13357710838318)
(3, 66.395457668452693, 0.0557, 238.99013996124268)
(4, 65.506092535734751, 0.0489, 298.8106610774994)
(5, 64.850702090549191, 0.048, 358.62323904037476)
(6, 64.395478465091941, 0.047, 418.1939420700073)
(7, 64.021658586301584, 0.0442, 477.8516089916229)
(8, 63.747368601953774, 0.0448, 537.5344660282135)
(9, 63.497239607036477, 0.0403, 597.1280760765076)
(10, 63.286440524728548, 0.0407, 656.6861801147461)
(11, 63.095316983174094, 0.0415, 716.4691319465637)
(12, 62.945641284705502, 0.0393, 776.2235150337219)
(13, 62.818875435974441, 0.0401, 836.3068809509277)
(14, 62.724921989258995, 0.0405, 895.9816689491272)
(15, 62.612087674033454, 0.0376, 955.6367659568787)
(16, 62.476900453148026, 0.0372, 1015.3516929149628)
(17, 62.382983460449111, 0.0363, 1074.9492690563202)
(18, 62.312870405967274, 0.0364, 1134.6945939064026)
(19, 62.243491784446128, 0.0355, 1194.4567070007324)
(20, 62.18081577664212, 0.0358, 1254.091924905777)
(21, 62.124568891425, 0.033, 1313.723081111908)
(22, 62.075577573488196, 0.0342, 1373.55495595932)
(23, 62.010802006409165, 0.0323, 1433.348622083664)
(24, 61.967774693384207, 0.0352, 1493.080218076706)
(25, 61.910837533746474, 0.0345, 1552.7575190067291)
(26, 61.893368997968224, 0.0338, 1612.459389925003)
(27, 61.848098039943388, 0.0339, 1672.1748979091644)
(28, 61.797652958881748, 0.0338, 1731.8869919776917)
(29, 61.735115622848333, 0.0335, 1791.5483570098877)
(30, 61.739427323798033, 0.0321, 1851.2007830142975)
(31, 61.671441089237362, 0.0329, 1910.840677022934)
(32, 61.675359726257561, 0.0332, 1970.6414380073547)
(33, 61.623250380679067, 0.0303, 2030.4395399093628)
(34, 61.584746231445067, 0.0326, 2090.1096489429474)
(35, 61.539393138959454, 0.0321, 2149.864734888077)
(36, 61.526292724468689, 0.0307, 2209.487596988678)
(37, 61.525427140015459, 0.0305, 2269.3199620246887)
(38, 61.490013875586598, 0.03, 2328.9343309402466)
(39, 61.455158400622082, 0.0315, 2388.6855080127716)
(40, 61.429948110496518, 0.0312, 2448.494483947754)
(41, 61.412099633504063, 0.0293, 2508.366856098175)
(42, 61.389010266334822, 0.0291, 2568.103219985962)
(43, 61.400442104755562, 0.0309, 2627.959811925888)
(44, 61.358868543517239, 0.0303, 2687.9544761180878)
(45, 61.331438282518086, 0.032, 2747.629390001297)
(46, 61.320187814746461, 0.031, 2807.331521987915)
(47, 61.286833901404357, 0.0292, 2866.8854060173035)
(48, 61.277608692409807, 0.0317, 2926.505721092224)
(49, 61.256375184960014, 0.0291, 2986.1681458950043)
(50, 61.221653976918923, 0.0293, 3045.870090007782)
(51, 61.231641561685748, 0.0308, 3105.697905063629)
(52, 61.224697386094974, 0.0289, 3165.500077009201)
(53, 61.195883504947332, 0.0286, 3225.1872220039368)
(54, 61.186465897982856, 0.0313, 3284.8505659103394)
(55, 61.178024898235208, 0.0287, 3344.5294909477234)
(56, 61.153364496945649, 0.0305, 3404.273472070694)
(57, 61.129914400048115, 0.0275, 3464.1127500534058)
(58, 61.127138058048942, 0.028, 3527.447639942169)
(59, 61.110600143372352, 0.0282, 3586.9814801216125)
(60, 61.102681282229547, 0.0291, 3646.5864379405975)
(61, 61.122940112872364, 0.0286, 3706.210230112076)
(62, 61.090009798707186, 0.0267, 3765.913125038147)
(63, 61.050226195942805, 0.0294, 3825.5016639232635)
(64, 61.03915409003168, 0.0282, 3885.273848056793)
(65, 61.025886521956245, 0.0273, 3945.0070519447327)
(66, 61.012285762838289, 0.0266, 4004.8336169719696)
(67, 61.000570086132072, 0.0275, 4064.6252410411835)
(68, 60.99215224992718, 0.0262, 4124.330428123474)
(69, 61.009942650093024, 0.0277, 4183.9944179058075)
(70, 60.989073525794325, 0.027, 4243.55771112442)
(71, 61.002023684723071, 0.029, 4303.219988107681)
(72, 60.943474709775998, 0.028, 4362.943468093872)
(73, 60.976133099876158, 0.0284, 4422.622930049896)
(74, 60.929301983684013, 0.0252, 4481.98517203331)
(75, 60.957506373022937, 0.0273, 4541.636848926544)
(76, 60.947092566995636, 0.0286, 4601.3468379974365)
(77, 60.923876652721191, 0.0268, 4660.824305057526)
(78, 60.91509556520743, 0.0271, 4720.3321940898895)
(79, 60.913963895792698, 0.0262, 4780.162277936935)
(80, 60.900304646823919, 0.0287, 4840.0342700481415)
(81, 60.896649878122183, 0.0281, 4899.755870103836)
(82, 60.881334277427712, 0.0263, 4959.25803399086)
(83, 60.853626915750127, 0.0273, 5018.77543091774)
(84, 60.832682050664445, 0.0265, 5078.525561094284)
(85, 60.852429798857528, 0.0266, 5138.183619022369)
(86, 60.807647364134269, 0.0278, 5197.896204948425)
(87, 60.831762889760256, 0.0275, 5257.619714021683)
(88, 60.819397344720642, 0.0278, 5317.377375125885)
(89, 60.801595245304227, 0.0279, 5376.877141952515)
(90, 60.822192937927987, 0.028, 5436.5015189647675)
(91, 60.798473653403541, 0.0277, 5496.158525943756)
(92, 60.802595056570716, 0.0286, 5555.523680925369)
(93, 60.781847068385218, 0.0276, 5615.068914890289)
(94, 60.762377083636608, 0.0292, 5674.747100114822)
(95, 60.743745271988679, 0.0272, 5734.304007053375)
(96, 60.771063766367142, 0.0281, 5793.885360956192)
(97, 60.729359669356377, 0.0252, 5853.554105997086)
(98, 60.716154515070727, 0.0286, 5913.04222202301)
(99, 60.721210081722695, 0.0262, 5972.688786029816)
done.
