denoising autoencoder, full feedback
epochs = 20
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.447683766995524, 0.0835, 60.841779947280884)
(1, 72.263487426985463, 0.0694, 121.68967294692993)
(2, 69.857657137461274, 0.059, 182.55776596069336)
(3, 68.466559609988536, 0.0562, 243.40121793746948)
(4, 67.515788193333663, 0.0517, 304.05980491638184)
(5, 66.882021533859913, 0.0487, 364.88009691238403)
(6, 66.368406898044697, 0.0477, 425.75640082359314)
(7, 66.001331696153471, 0.0462, 486.5450439453125)
(8, 65.688832610172838, 0.0436, 547.3213708400726)
(9, 65.41201974492094, 0.0429, 608.1962189674377)
(10, 65.153729692918859, 0.0401, 668.9252758026123)
(11, 65.004268419429678, 0.0404, 729.6319208145142)
(12, 64.824002256507455, 0.0406, 790.4764459133148)
(13, 64.692223759445852, 0.0403, 851.3450629711151)
(14, 64.538565266704893, 0.0393, 912.1376419067383)
(15, 64.463926593073083, 0.0377, 973.0766048431396)
(16, 64.312115968501885, 0.0367, 1033.833307981491)
(17, 64.29091231652221, 0.0346, 1094.6659908294678)
(18, 64.158090978268234, 0.0348, 1155.68345785141)
(19, 64.113847207681204, 0.0353, 1216.5752198696136)
done.
